Bat,Rotor,Height,ResPolBat,ResPolRot,desC,operC,resC,c1,c2,c3,c_cum
0,0,10,0,0,0,207671202.42135233,67576.7390703775,1,1,0,1
0,0,20,0,0,0,-4810802.152345255,66685.63572148954,1,1,0,1
0,0,30,0,0,0,-14610321.083252814,65765.39565181479,0,0,0,0
0,0,40,0,0,0,-14540181.657845022,33331.28673917209,0,0,0,0
0,0,50,0,0,0,-14507731.633957556,33079.17470718003,0,0,0,0
0,0,60,0,0,0,-14490157.118446877,29912.189404765664,0,0,0,0
0,0,70,0,0,0,-14479503.616367515,29703.21768311206,0,0,0,0
0,0,80,0,0,0,-14472579.849289693,23288.12085830172,0,0,0,0
0,0,90,0,0,0,-14467840.707361134,23198.928840241533,0,0,0,0
0,0,100,0,0,0,-14464451.119216437,23109.636761627175,0,0,0,0
0,0,110,0,0,0,-14461943.073690677,23015.003740434495,0,0,1,1
0,0,120,0,0,0,-14460035.440430803,22930.871152000735,0,0,1,1
0,1,10,0,0,1000,209586202.39485258,69471.9632130916,1,1,0,1
0,1,20,0,0,1000,203189301.62472725,68636.8958667005,1,1,0,1
0,1,30,0,0,1000,-4110321.083252813,67706.54924653225,1,1,0,1
0,1,40,0,0,1000,-14540181.657845022,48486.46798606108,0,0,0,0
0,1,50,0,0,1000,-14507731.633957556,48094.572805914315,0,0,0,0
0,1,60,0,0,1000,-14490157.118446877,43497.94348157615,0,0,0,0
0,1,70,0,0,1000,-14479503.616367515,43279.681253542236,0,0,0,0
0,1,80,0,0,1000,-14472579.849289693,24279.148307508036,0,0,0,0
0,1,90,0,0,1000,-14467840.707361134,24182.491399937295,0,0,0,0
0,1,100,0,0,1000,-14464451.119216437,24087.129981306505,0,0,0,0
0,1,110,0,0,1000,-14461943.073690677,23989.964543380076,0,0,1,1
0,1,120,0,0,1000,-14460035.440430803,23903.211469304155,0,0,1,1
0,2,10,0,0,2000,211456202.37800625,71638.84327231534,1,1,0,1
0,2,20,0,0,2000,206674301.62264946,70774.45111837407,1,1,0,1
0,2,30,0,0,2000,203389779.16098467,69853.25396598168,1,1,0,1
0,2,40,0,0,2000,-4040181.657845022,49937.24548162278,1,1,0,1
0,2,50,0,0,2000,-4007731.633957556,49559.853974111764,1,1,0,1
0,2,60,0,0,2000,-4490157.118446876,44739.86592637123,1,1,0,1
0,2,70,0,0,2000,-4479503.616367515,44512.587478259884,1,1,0,1
0,2,80,0,0,2000,-14472579.849289693,25246.641766264584,0,0,0,0
0,2,90,0,0,2000,-14467840.707361134,25143.412272485773,0,0,0,0
