Bat,Rotor,Height,ResPolBat,ResPolRot,desC,operC,resC,c1,c2,c3,c_cum
3,1,30,0,0,1600,67959935.559952,152341.53443677977,1,1,0,1
3,1,40,0,0,1600,-12150200.820529787,44030.959142218824,0,0,0,0
3,1,50,0,0,1600,-12868156.568123717,43509.78524087249,0,0,0,0
3,1,60,0,0,1600,-14102052.16177801,36382.91510129785,0,0,0,0
3,1,70,0,0,1600,-14038105.959186628,36319.26086033708,0,0,0,0
3,1,80,0,0,1600,-12175295.774102265,17556.78795461272,0,0,0,0
3,1,90,0,0,1600,-13722536.973362884,17043.83590052307,0,0,0,0
3,1,100,0,0,1600,-13968585.799450526,16929.42279835414,0,0,0,0
3,1,110,0,0,1600,-13915305.973271817,16911.98975639651,0,0,1,1
3,1,120,0,0,1600,-13862815.10199388,16895.37770457849,0,0,1,1
3,2,10,0,0,2600,273251647.70474195,196225.57329983937,1,1,0,1
3,2,20,0,0,2600,269647457.46524245,193890.40600757377,1,1,0,1
3,2,30,0,0,2600,265830057.11224902,191400.57984082008,1,1,0,1
3,2,40,0,0,2600,68349799.17947021,61111.32496476114,1,1,0,1
3,2,50,0,0,2600,67631843.43187629,60607.23550540629,1,1,0,1
3,2,60,0,0,2600,25897947.83822199,46912.117640817836,1,1,0,1
3,2,70,0,0,2600,25961894.04081337,46839.334009834805,1,1,0,1
3,2,80,0,0,2600,-12175295.774102265,20329.10823725019,0,0,0,0
3,2,90,0,0,2600,-13722536.973362884,19819.148129314373,0,0,0,0
3,2,100,0,0,2600,-13968585.799450526,19702.59447385061,0,0,0,0
3,2,110,0,0,2600,-13915305.973271817,19681.33987504317,0,0,1,1
3,2,120,0,0,2600,-13862815.10199388,19661.80431586964,0,0,1,1
0,0,10,1,1,0,209651647.78491262,43418.58996417781,1,1,0,1
0,0,20,1,1,0,-2450985.7056087684,42807.957708664704,1,1,0,1
0,0,30,1,1,0,-13040064.440047994,44311.90434850066,0,0,0,0
0,0,40,1,1,0,-12150200.820529787,30078.965508253394,0,0,0,0
0,0,50,1,1,0,-12868156.568123717,29739.154031394348,0,0,0,0
