,Population
0,"[[[2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [1, -0.36667830270503116, 1], [3.68132258075921, -0.5, 1], [3.68132258075921, -0.5, 1], [1, -0.5, 1], [1, -0.5, 0.8436592815403007], [1, -0.5, 0.8436592815403007], [3.68132258075921, -0.5, 1], [3.68132258075921, -0.5, 1], [3.68132258075921, -0.5, 1], [5.7344118977267335, -0.5, 1], [3.68132258075921, -0.5, 1], [3.68132258075921, -0.5, 1], [2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [1.5160188832011077, -0.5, 1], [2.833861498384847, -0.5, 1], [1, -0.04434864652678916, 0.8404732115188727], [1, -0.5, 0.9762631890389833], [9.706552525451432, -0.24599233409074678, 1], [2.970551049015223, -0.31981260985531196, 0.9674384348887304]], [[4.685034739383958, 0.5, 0.9569852722354232], [4.685034739383958, 0.5, 0.9569852722354232], [2.2640045755615184, 0.08560038785059176, 1], [2.2640045755615184, 0.08560038785059176, 1], [5.233615589450254, -0.025367871576091938, 1], [5.233615589450254, -0.025367871576091938, 1], [5.233615589450254, -0.025367871576091938, 1], [1, 0.3087421430241789, 1], [6.169490626788256, -0.021284481802646728, 1], [6.169490626788256, -0.021284481802646728, 1], [6.169490626788256, -0.021284481802646728, 1], [6.562772758679255, -0.025367871576091938, 1], [6.562772758679255, -0.025367871576091938, 1], [4.787211951345693, -0.021284481802646728, 1], [6.169490626788256, -0.021284481802646728, 0.838744925044345], [6.169490626788256, -0.021284481802646728, 0.838744925044345], [2.473249274528016, 0.46602274903247426, 1], [2.473249274528016, 0.46602274903247426, 1], [2.473249274528016, 0.46602274903247426, 1], [1, -0.2184557343175086, 1], [1.8225041213057698, 0.49337455531178476, 1], [1.8225041213057698, 0.49337455531178476, 1], [5.233615589450254, -0.025367871576091938, 1], [6.169490626788256, -0.021284481802646728, 1], [1.8225041213057698, 0.49337455531178476, 1]], [[1.0330464004567697, 0.34085319638821554, 1], [4.9729096397546115, 0.5, 0.9269861451090406], [1, 0.23570065866780063, 0.628969997326779], [3.9023423155306336, 0.427020781718027, 1], [1, 0.29065636147114615, 1], [1, 0.29065636147114615, 1], [1.6262403390235836, 0.37099075726225544, 1], [1.9577609282350763, 0.24781220175156898, 0.7411083345275693], [8.634988789975854, 0.4052614240031215, 1], [8.634988789975854, 0.4052614240031215, 1], [1, 0.3132057762031853, 1], [1, 0.4052614240031215, 1], [1, 0.4052614240031215, 1], [1.3083568874822185, 0.324913818648667, 0.8353159058833584], [1.3083568874822185, 0.324913818648667, 0.8353159058833584], [2.701224558990119, 0.34085319638821554, 0.9269861451090406], [1, 0.29065636147114615, 1], [1, 0.5, 0.9465249110825742], [1, 0.5, 0.9968666089460542], [1, 0.18506770535748623, 1], [2.701224558990119, 0.34085319638821554, 0.9269861451090406], [2.701224558990119, 0.34085319638821554, 0.9269861451090406], [1, 0.293557645672243, 1], [5.8523414840449135, 0.15960819142412694, 1], [1.3083568874822185, 0.324913818648667, 1]], [[1, -0.5, 1], [2.9501156346073767, -0.4439101006212684, 0.6642882248505274], [1.8929606893824313, -0.4849832632806972, 0.8831019833195363], [6.1503872031875275, -0.5, 0.7812330206824101], [7.525626980692264, -0.425531802070879, 0.42117727835273056], [2.7238218387610473, -0.5, 0.5968958903655692], [2.969190670852458, -0.5, 0.6848676088069796], [2.457946506719612, -0.5, 0.7886635105758206], [1, -0.46302430339347933, 0.28353376993346086], [1, -0.46302430339347933, 0.28353376993346086], [1, -0.5, 0.3233034227002704], [1, -0.5, 0.3233034227002704], [1, -0.5, 0.6074146373025732], [5.347235292609874, -0.27891824066862814, 0.6179064416265102], [2.645951467647674, -0.4094597710639494, 0.9562060998221635], [1, -0.5, 0.7236839238947291], [2.7238218387610473, -0.45336322571518917, 0.5968958903655692], [3.0200508486023505, -0.2793863123197936, 0.6723777474657119], [3.9879831812167037, -0.2514421162341191, 0.4134597551288754], [4.665975156128983, -0.4924558913742754, 0.5633254794271325], [9.525623344045862, -0.4924558913742754, 0.2777735661400019], [9.525623344045862, -0.4924558913742754, 0.2777735661400019], [1, -0.5, 0.5968958903655692], [1.793651556159356, -0.5, 0.6139029027216799], [1, -0.425531802070879, 0.42117727835273056]], [[7.962872323935834, -0.028034321670774298, 1], [1, 0.05629234036498089, 0.8531629721280987], [1, 0.17841889904363534, 1], [1, 0.17841889904363534, 1], [4.727051041726138, -0.012531444694339589, 1], [4.727051041726138, -0.012531444694339589, 1], [1, 0.17841889904363534, 1], [1, 0.17841889904363534, 1], [1, 0.5, 1], [1, 0.17841889904363534, 1], [1, 0.17841889904363534, 1], [1, -0.17804235076396716, 1], [1, -0.17843001310411205, 0.9370245074133239], [1, -0.17843001310411205, 0.9370245074133239], [4.727051041726138, -0.012531444694339589, 0.7586665641730775], [3.337254727795398, 0.5, 0.8081214903923586], [1, -0.17843001310411205, 0.9847123759363738], [1, -0.17843001310411205, 0.9847123759363738], [1, -0.17843001310411205, 0.9847123759363738], [1, 0.2697463010812858, 1], [1, 0.17841889904363534, 0.9164828189857168], [1, 0.17841889904363534, 0.9164828189857168], [1, -0.4984912808096509, 0.6708697494040402], [1, -0.14896474797403392, 0.9518082843124295], [3.834469090235563, 0.39260206913563567, 0.8586028896873268]], [[1.160475914618244, 0.5, 1], [6.12032219134595, 0.5, 0.9621999267317015], [4.929336487872408, 0.5, 1], [4.929336487872408, 0.5, 1], [6.8764839410427046, -0.03946477579027244, 1], [4.929336487872408, 0.5, 0.9978006290988103], [4.929336487872408, 0.5, 0.9978006290988103], [4.568168197675963, 0.5, 0.9621999267317015], [2.753710595585311, 0.5, 0.8812288031472278], [2.534141867901146, 0.2326833486183872, 0.8164452634314988], [2.534141867901146, 0.2326833486183872, 0.8164452634314988], [4.534541673321723, 0.4688618508538876, 1], [9.661302662240704, 0.4057097045426261, 1], [9.661302662240704, 0.4057097045426261, 1], [9.661302662240704, 0.4057097045426261, 1], [4.929336487872408, 0.4557917243370394, 0.8904789231089083], [4.929336487872408, 0.4557917243370394, 0.8904789231089083], [9.661302662240704, 0.4057097045426261, 0.9859022274458538], [9.661302662240704, 0.4057097045426261, 0.9859022274458538], [1.7811009933692403, 0.4495951043689552, 0.6272761784459224], [1, 0.3747974354138173, 1], [9.661302662240704, 0.4057097045426261, 1], [1, 0.5, 1], [5.586141627785466, 0.5, 0.9939051897331308], [7.490736496779936, 0.24101700493946804, 0.9755169362264395]], [[2.366454940844091, -0.5, 0.9696620603991547], [2.6882627147624216, 0.3437367146794308, 0.9155068940702445], [2.6882627147624216, 0.3437367146794308, 0.9155068940702445], [5.620557315659213, -0.006508470181851633, 0.774621298015243], [5.8963244323700525, 0.49540967286437204, 1], [5.8963244323700525, 0.49540967286437204, 1], [1, 0.48665416324978866, 0.8388230967225146], [1, 0.48665416324978866, 0.8388230967225146], [5.726918673775587, 0.34078251379087765, 1], [1, 0.5, 1], [5.8963244323700525, 0.5, 1], [5.8963244323700525, 0.5, 1], [5.8963244323700525, 0.5, 1], [1.9793531303225236, -0.33698716389122735, 1], [1.9793531303225236, -0.33698716389122735, 1], [5.8963244323700525, 0.49540967286437204, 0.927095383312887], [5.8963244323700525, 0.49540967286437204, 0.927095383312887], [1, 0.5, 1], [1, 0.3730605005119262, 1], [5.585809618133975, 0.5, 1], [1, 0.36335546216390524, 1], [5.8963244323700525, 0.5, 0.927095383312887], [5.8963244323700525, 0.5, 0.927095383312887], [4.301101546890589, 0.5, 0.8253464846527514], [1, -0.07307970059523128, 0.6817413313012439]], [[8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.03730852392527462, 0.987229521438729], [8.380322872480864, -0.03730852392527462, 0.987229521438729], [8.380322872480864, -0.040564670105796743, 0.987229521438729], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [7.98558548437393, -0.013254166709534932, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [4.445876241799924, -0.02920503476121969, 0.9705173004518743], [8.067144765550708, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1]], [[6.924210636805971, -0.02185206260428968, 1], [5.268754741720153, -0.016107163050318896, 1], [6.082696426067207, -0.20678791510068556, 0.9739477994826053], [1, 0.05145555409186395, 0.7984169651766282], [7.463565574649891, -0.016107163050318896, 0.9641709569617019], [7.463565574649891, -0.016107163050318896, 0.9641709569617019], [7.463565574649891, -0.016107163050318896, 1], [5.268754741720153, -0.016107163050318896, 1], [1, 0.0534326256532211, 0.8446152421863221], [5.268754741720153, -0.016107163050318896, 1], [5.268754741720153, -0.016107163050318896, 1], [5.268754741720153, -0.02185206260428968, 1], [7.463565574649891, -0.02185206260428968, 1], [4.0224315065949146, 0.4128932567611925, 1], [6.924210636805971, -0.02185206260428968, 1], [6.924210636805971, -0.02185206260428968, 1], [1, 0.345344174630625, 0.9583860459770309], [1, 0.5, 0.8916827910972123], [5.159716691555594, -0.46430190272601873, 0.9229512314061714], [5.268754741720153, 0.5, 1], [1, 0.46928007159633317, 0.9763375299025931], [1, 0.46928007159633317, 0.9763375299025931], [3.8880217603717737, -0.020164320100477195, 1], [5.268754741720153, 0.5, 1], [3.8768808366748635, 0.2913749148235707, 0.8124893894775094]], [[1.997243965355704, 0.23020297585761892, 1], [1.997243965355704, 0.23020297585761892, 1], [1.997243965355704, 0.23020297585761892, 1], [1.997243965355704, 0.23020297585761892, 1], [5.2645223855839625, 0.5, 1], [5.2645223855839625, 0.5, 1], [5.278357869353133, 0.5, 1], [1, 0.16401068143014016, 1], [1, 0.17414409792510627, 1], [1.997243965355704, 0.23020297585761892, 1], [4.297491813984079, 0.4175960966249629, 0.9052961374660271], [4.297491813984079, 0.4175960966249629, 0.9052961374660271], [5.139116172111619, 0.45321029050078, 0.9014954528493048], [4.297491813984079, 0.4175960966249629, 1], [4.297491813984079, 0.4175960966249629, 1], [4.297491813984079, 0.4175960966249629, 1], [4.297491813984079, 0.4175960966249629, 1], [7.216619499273399, 0.32682973174972085, 0.880539692648042], [1.8920681619266622, 0.460521194229532, 1], [1.997243965355704, 0.23020297585761892, 0.9859550710005333], [1.997243965355704, 0.23020297585761892, 0.9859550710005333], [1, -0.13274643490670932, 0.8976884641467564], [1, 0.5, 1], [4.808854225492368, 0.3674137459539243, 0.560385388018724], [1.997243965355704, 0.23020297585761892, 1]]]"
1,"[[[2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [1, -0.36667830270503116, 1], [3.68132258075921, -0.5, 1], [3.68132258075921, -0.5, 1], [1, -0.5, 1], [1, -0.5, 0.8436592815403007], [1, -0.5, 0.8436592815403007], [3.68132258075921, -0.5, 1], [3.68132258075921, -0.5, 1], [3.68132258075921, -0.5, 1], [5.7344118977267335, -0.5, 1], [3.68132258075921, -0.5, 1], [3.68132258075921, -0.5, 1], [2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [2.833861498384847, -0.5, 1], [1.5160188832011077, -0.5, 1], [2.833861498384847, -0.5, 1], [1, -0.04434864652678916, 0.8404732115188727], [1, -0.5, 0.9762631890389833], [9.706552525451432, -0.24599233409074678, 1], [2.970551049015223, -0.31981260985531196, 0.9674384348887304]], [[4.685034739383958, 0.5, 0.9569852722354232], [4.685034739383958, 0.5, 0.9569852722354232], [2.2640045755615184, 0.08560038785059176, 1], [2.2640045755615184, 0.08560038785059176, 1], [5.233615589450254, -0.025367871576091938, 1], [5.233615589450254, -0.025367871576091938, 1], [5.233615589450254, -0.025367871576091938, 1], [1, 0.3087421430241789, 1], [6.169490626788256, -0.021284481802646728, 1], [6.169490626788256, -0.021284481802646728, 1], [6.169490626788256, -0.021284481802646728, 1], [6.562772758679255, -0.025367871576091938, 1], [6.562772758679255, -0.025367871576091938, 1], [4.787211951345693, -0.021284481802646728, 1], [6.169490626788256, -0.021284481802646728, 0.838744925044345], [6.169490626788256, -0.021284481802646728, 0.838744925044345], [2.473249274528016, 0.46602274903247426, 1], [2.473249274528016, 0.46602274903247426, 1], [2.473249274528016, 0.46602274903247426, 1], [1, -0.2184557343175086, 1], [1.8225041213057698, 0.49337455531178476, 1], [1.8225041213057698, 0.49337455531178476, 1], [5.233615589450254, -0.025367871576091938, 1], [6.169490626788256, -0.021284481802646728, 1], [1.8225041213057698, 0.49337455531178476, 1]], [[1.0330464004567697, 0.34085319638821554, 1], [4.9729096397546115, 0.5, 0.9269861451090406], [1, 0.23570065866780063, 0.628969997326779], [3.9023423155306336, 0.427020781718027, 1], [1, 0.29065636147114615, 1], [1, 0.29065636147114615, 1], [1.6262403390235836, 0.37099075726225544, 1], [1.9577609282350763, 0.24781220175156898, 0.7411083345275693], [8.634988789975854, 0.4052614240031215, 1], [8.634988789975854, 0.4052614240031215, 1], [1, 0.3132057762031853, 1], [1, 0.4052614240031215, 1], [1, 0.4052614240031215, 1], [1.3083568874822185, 0.324913818648667, 0.8353159058833584], [1.3083568874822185, 0.324913818648667, 0.8353159058833584], [2.701224558990119, 0.34085319638821554, 0.9269861451090406], [1, 0.29065636147114615, 1], [1, 0.5, 0.9465249110825742], [1, 0.5, 0.9968666089460542], [1, 0.18506770535748623, 1], [2.701224558990119, 0.34085319638821554, 0.9269861451090406], [2.701224558990119, 0.34085319638821554, 0.9269861451090406], [1, 0.293557645672243, 1], [5.8523414840449135, 0.15960819142412694, 1], [1.3083568874822185, 0.324913818648667, 1]], [[1, -0.5, 1], [2.9501156346073767, -0.4439101006212684, 0.6642882248505274], [1.8929606893824313, -0.4849832632806972, 0.8831019833195363], [6.1503872031875275, -0.5, 0.7812330206824101], [7.525626980692264, -0.425531802070879, 0.42117727835273056], [2.7238218387610473, -0.5, 0.5968958903655692], [2.969190670852458, -0.5, 0.6848676088069796], [2.457946506719612, -0.5, 0.7886635105758206], [1, -0.46302430339347933, 0.28353376993346086], [1, -0.46302430339347933, 0.28353376993346086], [1, -0.5, 0.3233034227002704], [1, -0.5, 0.3233034227002704], [1, -0.5, 0.6074146373025732], [5.347235292609874, -0.27891824066862814, 0.6179064416265102], [2.645951467647674, -0.4094597710639494, 0.9562060998221635], [1, -0.5, 0.7236839238947291], [2.7238218387610473, -0.45336322571518917, 0.5968958903655692], [3.0200508486023505, -0.2793863123197936, 0.6723777474657119], [3.9879831812167037, -0.2514421162341191, 0.4134597551288754], [4.665975156128983, -0.4924558913742754, 0.5633254794271325], [9.525623344045862, -0.4924558913742754, 0.2777735661400019], [9.525623344045862, -0.4924558913742754, 0.2777735661400019], [1, -0.5, 0.5968958903655692], [1.793651556159356, -0.5, 0.6139029027216799], [1, -0.425531802070879, 0.42117727835273056]], [[7.962872323935834, -0.028034321670774298, 1], [1, 0.05629234036498089, 0.8531629721280987], [1, 0.17841889904363534, 1], [1, 0.17841889904363534, 1], [4.727051041726138, -0.012531444694339589, 1], [4.727051041726138, -0.012531444694339589, 1], [1, 0.17841889904363534, 1], [1, 0.17841889904363534, 1], [1, 0.5, 1], [1, 0.17841889904363534, 1], [1, 0.17841889904363534, 1], [1, -0.17804235076396716, 1], [1, -0.17843001310411205, 0.9370245074133239], [1, -0.17843001310411205, 0.9370245074133239], [4.727051041726138, -0.012531444694339589, 0.7586665641730775], [3.337254727795398, 0.5, 0.8081214903923586], [1, -0.17843001310411205, 0.9847123759363738], [1, -0.17843001310411205, 0.9847123759363738], [1, -0.17843001310411205, 0.9847123759363738], [1, 0.2697463010812858, 1], [1, 0.17841889904363534, 0.9164828189857168], [1, 0.17841889904363534, 0.9164828189857168], [1, -0.4984912808096509, 0.6708697494040402], [1, -0.14896474797403392, 0.9518082843124295], [3.834469090235563, 0.39260206913563567, 0.8586028896873268]], [[1.160475914618244, 0.5, 1], [6.12032219134595, 0.5, 0.9621999267317015], [4.929336487872408, 0.5, 1], [4.929336487872408, 0.5, 1], [6.8764839410427046, -0.03946477579027244, 1], [4.929336487872408, 0.5, 0.9978006290988103], [4.929336487872408, 0.5, 0.9978006290988103], [4.568168197675963, 0.5, 0.9621999267317015], [2.753710595585311, 0.5, 0.8812288031472278], [2.534141867901146, 0.2326833486183872, 0.8164452634314988], [2.534141867901146, 0.2326833486183872, 0.8164452634314988], [4.534541673321723, 0.4688618508538876, 1], [9.661302662240704, 0.4057097045426261, 1], [9.661302662240704, 0.4057097045426261, 1], [9.661302662240704, 0.4057097045426261, 1], [4.929336487872408, 0.4557917243370394, 0.8904789231089083], [4.929336487872408, 0.4557917243370394, 0.8904789231089083], [9.661302662240704, 0.4057097045426261, 0.9859022274458538], [9.661302662240704, 0.4057097045426261, 0.9859022274458538], [1.7811009933692403, 0.4495951043689552, 0.6272761784459224], [1, 0.3747974354138173, 1], [9.661302662240704, 0.4057097045426261, 1], [1, 0.5, 1], [5.586141627785466, 0.5, 0.9939051897331308], [7.490736496779936, 0.24101700493946804, 0.9755169362264395]], [[2.366454940844091, -0.5, 0.9696620603991547], [2.6882627147624216, 0.3437367146794308, 0.9155068940702445], [2.6882627147624216, 0.3437367146794308, 0.9155068940702445], [5.620557315659213, -0.006508470181851633, 0.774621298015243], [5.8963244323700525, 0.49540967286437204, 1], [5.8963244323700525, 0.49540967286437204, 1], [1, 0.48665416324978866, 0.8388230967225146], [1, 0.48665416324978866, 0.8388230967225146], [5.726918673775587, 0.34078251379087765, 1], [1, 0.5, 1], [5.8963244323700525, 0.5, 1], [5.8963244323700525, 0.5, 1], [5.8963244323700525, 0.5, 1], [1.9793531303225236, -0.33698716389122735, 1], [1.9793531303225236, -0.33698716389122735, 1], [5.8963244323700525, 0.49540967286437204, 0.927095383312887], [5.8963244323700525, 0.49540967286437204, 0.927095383312887], [1, 0.5, 1], [1, 0.3730605005119262, 1], [5.585809618133975, 0.5, 1], [1, 0.36335546216390524, 1], [5.8963244323700525, 0.5, 0.927095383312887], [5.8963244323700525, 0.5, 0.927095383312887], [4.301101546890589, 0.5, 0.8253464846527514], [1, -0.07307970059523128, 0.6817413313012439]], [[8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.03730852392527462, 0.987229521438729], [8.380322872480864, -0.03730852392527462, 0.987229521438729], [8.380322872480864, -0.040564670105796743, 0.987229521438729], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [7.98558548437393, -0.013254166709534932, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.03730852392527462, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [4.445876241799924, -0.02920503476121969, 0.9705173004518743], [8.067144765550708, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1], [8.380322872480864, -0.040564670105796743, 1]], [[6.924210636805971, -0.02185206260428968, 1], [5.268754741720153, -0.016107163050318896, 1], [6.082696426067207, -0.20678791510068556, 0.9739477994826053], [1, 0.05145555409186395, 0.7984169651766282], [7.463565574649891, -0.016107163050318896, 0.9641709569617019], [7.463565574649891, -0.016107163050318896, 0.9641709569617019], [7.463565574649891, -0.016107163050318896, 1], [5.268754741720153, -0.016107163050318896, 1], [1, 0.0534326256532211, 0.8446152421863221], [5.268754741720153, -0.016107163050318896, 1], [5.268754741720153, -0.016107163050318896, 1], [5.268754741720153, -0.02185206260428968, 1], [7.463565574649891, -0.02185206260428968, 1], [4.0224315065949146, 0.4128932567611925, 1], [6.924210636805971, -0.02185206260428968, 1], [6.924210636805971, -0.02185206260428968, 1], [1, 0.345344174630625, 0.9583860459770309], [1, 0.5, 0.8916827910972123], [5.159716691555594, -0.46430190272601873, 0.9229512314061714], [5.268754741720153, 0.5, 1], [1, 0.46928007159633317, 0.9763375299025931], [1, 0.46928007159633317, 0.9763375299025931], [3.8880217603717737, -0.020164320100477195, 1], [5.268754741720153, 0.5, 1], [3.8768808366748635, 0.2913749148235707, 0.8124893894775094]], [[1.997243965355704, 0.23020297585761892, 1], [1.997243965355704, 0.23020297585761892, 1], [1.997243965355704, 0.23020297585761892, 1], [1.997243965355704, 0.23020297585761892, 1], [5.2645223855839625, 0.5, 1], [5.2645223855839625, 0.5, 1], [5.278357869353133, 0.5, 1], [1, 0.16401068143014016, 1], [1, 0.17414409792510627, 1], [1.997243965355704, 0.23020297585761892, 1], [4.297491813984079, 0.4175960966249629, 0.9052961374660271], [4.297491813984079, 0.4175960966249629, 0.9052961374660271], [5.139116172111619, 0.45321029050078, 0.9014954528493048], [4.297491813984079, 0.4175960966249629, 1], [4.297491813984079, 0.4175960966249629, 1], [4.297491813984079, 0.4175960966249629, 1], [4.297491813984079, 0.4175960966249629, 1], [7.216619499273399, 0.32682973174972085, 0.880539692648042], [1.8920681619266622, 0.460521194229532, 1], [1.997243965355704, 0.23020297585761892, 0.9859550710005333], [1.997243965355704, 0.23020297585761892, 0.9859550710005333], [1, -0.13274643490670932, 0.8976884641467564], [1, 0.5, 1], [4.808854225492368, 0.3674137459539243, 0.560385388018724], [1.997243965355704, 0.23020297585761892, 1]]]"
