,Species
0,"[[[5.14594448563233, 0.2682891029644332, 0.6576376525457444], [10.64870370241257, -0.15429464816236704, 0.6105489690868031]], [[3.7196774788893254, 0.10742514860333874, 0.7308652419076974], [3.7196774788893254, 0.10742514860333874, 0.7308652419076974]], [[1.0673104141441776, 0.0997262158103499, 0.3176758929822002], [1.0673104141441776, 0.0997262158103499, 0.3176758929822002]], [[18.446444647653045, 0.14670979921992333, 0.4566557164238303], [18.446444647653045, 0.14670979921992333, 0.4566557164238303]], [[17.219289884317828, -0.21454576564047423, 0.5136585181412345], [17.219289884317828, -0.21454576564047423, 0.5136585181412345]], [[18.396139936270558, -0.2064335305905739, 0.7280607748286417], [18.396139936270558, -0.2064335305905739, 0.7280607748286417]]]"
1,"[[[5.14594448563233, 0.2682891029644332, 0.6576376525457444], [10.64870370241257, -0.15429464816236704, 0.6105489690868031]], [[3.7196774788893254, 0.10742514860333874, 0.7308652419076974], [3.7196774788893254, 0.10742514860333874, 0.7308652419076974]], [[1.0673104141441776, 0.0997262158103499, 0.3176758929822002], [1.0673104141441776, 0.0997262158103499, 0.3176758929822002]], [[18.446444647653045, 0.14670979921992333, 0.4566557164238303], [18.446444647653045, 0.14670979921992333, 0.4566557164238303]], [[17.219289884317828, -0.21454576564047423, 0.5136585181412345], [17.219289884317828, -0.21454576564047423, 0.5136585181412345]], [[18.396139936270558, -0.2064335305905739, 0.7280607748286417], [18.396139936270558, -0.2064335305905739, 0.7280607748286417]]]"
