,Approach,X_opt,Total Cost,D/O Cost,Res. Cost,D/O Evals,Res. Evals,Comp. Time
0,All-in-one,"(2, 0, 40, 1, 1)",-14401412.002145058,-14485772.663137984,84360.66099292606,2304,2304,2375.2604665756226
1,Bi-stage,"[0, 0, 30.0, 2, 2]",-14249445.722157076,-14514128.43330109,264682.7111440134,144,16,27.478156566619873
2,Bi-level,"[2, 0, 40.0, 1, 1]",-14401412.002145058,-14485772.663137984,84360.66099292606,144,1152,1062.1160550117493
3,Bi-level (Decomp),"[2, 0, 40.0, 1, 1]",-14401412.002145058,-14485772.663137984,84360.66099292606,144,576,245.63006043434143
