,Generations,CCEA Fitness Values,Best_Sol,time
0,0,0.7500308422118576,"[[5.722567612222264, -0.01788888144851449, 0.0888425622534249], [4.5958183148457685, -0.21920492804332925, 0.5610655394091301], [8.19839956256498, -0.29856310377208173, 0.0927425480418067], [3.7801757364419877, -0.4576476619353851, 0.6760149532016286], [11.301816456892945, -0.41051999648311555, 0.8861374985019815], [1, 0.5, 1], [20, 0.25386606046309074, 0.05309302478481494], [5.775797636231089, 0.16118424739683912, 0.9770722913944466], [8.697011604912394, 0.3510229457537889, 0], [6.891135181592162, -0.05132135955828243, 0.7603779736872228]]",2.0657448768615723
1,1,0.7500308422118576,"[[5.722567612222264, -0.01788888144851449, 0.0888425622534249], [4.5958183148457685, -0.21920492804332925, 0.5610655394091301], [8.19839956256498, -0.29856310377208173, 0.0927425480418067], [3.7801757364419877, -0.4576476619353851, 0.6760149532016286], [11.301816456892945, -0.41051999648311555, 0.8861374985019815], [1, 0.5, 1], [20, 0.25386606046309074, 0.05309302478481494], [5.775797636231089, 0.16118424739683912, 0.9770722913944466], [8.697011604912394, 0.3510229457537889, 0], [6.891135181592162, -0.05132135955828243, 0.7603779736872228]]",4.1314897537231445
2,2,0.7500308422118576,"[[5.722567612222264, -0.01788888144851449, 0.0888425622534249], [4.5958183148457685, -0.21920492804332925, 0.5610655394091301], [8.19839956256498, -0.29856310377208173, 0.0927425480418067], [3.7801757364419877, -0.4576476619353851, 0.6760149532016286], [11.301816456892945, -0.41051999648311555, 0.8861374985019815], [1, 0.5, 1], [20, 0.25386606046309074, 0.05309302478481494], [5.775797636231089, 0.16118424739683912, 0.9770722913944466], [8.697011604912394, 0.3510229457537889, 0], [6.891135181592162, -0.05132135955828243, 0.7603779736872228]]",6.197234630584717
3,3,0.7562021893481841,"[[5.455369048032553, -0.025524873561630163, 0.7909745371638868], [1.5973243602879816, -0.18623999723852783, 1], [7.08542599959115, 0.40619580906944436, 0.4767215010154787], [3.7801757364419877, -0.4576476619353851, 0.6760149532016286], [8.566192690192091, -0.3311596974305706, 0.5981249366585756], [8.083417236583506, 0.11920920182952033, 0.5045688710587113], [20, 0.25386606046309074, 0.05309302478481494], [11.127595132934164, -0.38300574824070677, 0.655790123637839], [8.862255703085552, -0.25877534062690943, 0.24213663078322697], [6.567091681723685, -0.45764315501359526, 1]]",8.262979507446289
4,4,0.7752246325309993,"[[6.8581681880797785, 0.5, 0.8937838342663915], [4.5958183148457685, -0.21920492804332925, 0.5610655394091301], [9.069012702103084, 0.15199461218796068, 0.3794990122597417], [8.29842920691391, 0.29449350516778283, 0.8709727503945486], [20, 0.3894696890167567, 0.6373497130157835], [1, 0.5, 1], [10.977121071328549, 0.27758496938160304, 1], [14.181983163426183, 0.4339237395768457, 0.02236616112489408], [8.743082562916067, -0.4317156314260263, 0.10899070562187158], [7.544185244281234, -0.3540416377576891, 1]]",10.328724384307861
5,5,0.7984949904915758,"[[5.722567612222264, -0.01788888144851449, 0], [4.5958183148457685, -0.21920492804332925, 0.9712129081760624], [6.5765930783771145, -0.3808765631383265, 0.5333545287256354], [8.29842920691391, 0.29449350516778283, 0.8709727503945486], [6.5065062150980975, 0.04341608912902917, 0], [8.083417236583506, 0.11920920182952033, 0.5045688710587113], [1, 0.5, 1], [20, -0.2674867213352551, 0.09987294942950137], [9.580547206852504, 0.3739856837513548, 0.6270792447255183], [5.782613856793446, -0.21210555252740237, 0.746733606147941]]",12.394469261169434
6,6,0.7984949904915758,"[[5.722567612222264, -0.01788888144851449, 0], [4.5958183148457685, -0.21920492804332925, 0.9712129081760624], [6.5765930783771145, -0.3808765631383265, 0.5333545287256354], [8.29842920691391, 0.29449350516778283, 0.8709727503945486], [6.5065062150980975, 0.04341608912902917, 0], [8.083417236583506, 0.11920920182952033, 0.5045688710587113], [1, 0.5, 1], [20, -0.2674867213352551, 0.09987294942950137], [9.580547206852504, 0.3739856837513548, 0.6270792447255183], [5.782613856793446, -0.21210555252740237, 0.746733606147941]]",14.460214138031006
7,7,0.7984949904915758,"[[5.722567612222264, -0.01788888144851449, 0], [4.5958183148457685, -0.21920492804332925, 0.9712129081760624], [6.5765930783771145, -0.3808765631383265, 0.5333545287256354], [8.29842920691391, 0.29449350516778283, 0.8709727503945486], [6.5065062150980975, 0.04341608912902917, 0], [8.083417236583506, 0.11920920182952033, 0.5045688710587113], [1, 0.5, 1], [20, -0.2674867213352551, 0.09987294942950137], [9.580547206852504, 0.3739856837513548, 0.6270792447255183], [5.782613856793446, -0.21210555252740237, 0.746733606147941]]",16.525959014892578
8,8,0.8023316722517269,"[[1, -0.3741866456605558, 0], [1, -0.35413471608713193, 0.7973523777390467], [9.134593215744324, 0.2018656629344301, 0.8121924891560576], [8.082157085745926, 0.22574625926885392, 0.4843435375615551], [3.7073936672157757, -0.20903259678386, 1], [5.0314881484498875, -0.3819049409529861, 0.8975988008192275], [2.176858144944836, 0.1864147437224008, 0.7456840073093776], [5.775797636231089, 0.5, 0.8477302245057081], [7.077264046549647, 0.5, 0.6961254214111242], [20, -0.3163129266173691, 0.8276410727014274]]",18.59170389175415
9,9,0.8196573731087777,"[[7.2494554185172175, -0.44787162432939226, 0], [1, -0.3204435661134062, 1], [6.5765930783771145, -0.3808765631383265, 0.5333545287256354], [8.369577559916118, -0.15873735977696068, 0.9434224497911066], [3.7073936672157757, -0.20903259678386, 1], [8.57828604362641, 0.19510002948142965, 0.6957729115194751], [5.570288037277459, -0.4060297508824737, 0.637057020472114], [20, -0.2674867213352551, 0], [7.077264046549647, 0.5, 0.6961254214111242], [6.567091681723685, 0.40075900863030733, 1]]",20.657448768615723
