,Generations,Random Fitness Values,Random Health States,time
0,0,0.5964267707586248,"[[5.013050305878615, -0.408602572434667, 0.8805631737536251], [1.5402817070529302, -0.43947472777161545, 0.43046291838074435], [18.615367068200086, -0.41575665427867126, 0.32881816509010786], [3.374954939751658, 0.47830566744274106, 0.7199458231860597], [10.466499195600871, 0.32576545612480967, 0.3553340448701282], [11.58276561480089, 0.3610241286819368, 0.5672068510811648], [13.625307716999846, 0.15557245063545455, 0.6797404920923056], [15.90383525655751, 0.4422384587745808, 0.45693293218495634], [7.282692768682381, -0.17631962840152715, 0.5366002802952725], [13.633247767180219, -0.3677190939888698, 0.4594545574792167]]",1.960320701599121
1,1,0.6217159189539556,"[[8.456982301570983, 0.06788175571572586, 0.16159037607699223], [1.257183330143758, -0.31587220249719095, 0.9111869717512939], [6.627394731094607, 0.4560334385971109, 0.5526395131774771], [16.206801995780754, -0.02809988579332734, 0.06598098975914057], [5.229280067109485, 0.43286072461058733, 0.6278877979500784], [19.672426241892403, -0.12866644679954486, 0.6344052295286546], [9.233852596501734, -0.1409537013092772, 0.5562259023643439], [1.276269086071376, -0.04376778376355428, 0.7334287784640907], [3.6719745589497856, 0.0025205683504023746, 0.2015095793589149], [9.707789061812765, 0.189897393525141, 0.36501406530391556]]",3.920641403198242
2,2,0.6513348865437052,"[[10.291552530068254, -0.22964746433590721, 0.5374625364910223], [13.324683793880961, 0.10252689977216745, 0.1629369665831245], [1.9761328599968375, -0.1674481661630307, 0.4082778724417211], [10.078083732889562, -0.11715737772125123, 0.07770646953673177], [8.438633367103693, -0.4056514573758224, 0.7244822213470496], [15.995742900539176, -0.21923448215794916, 0.17395724521689648], [19.74320032345171, -0.45950979477489395, 0.3758025405849129], [7.70047703724954, 0.43231219749479854, 0.7716049422640215], [6.578607768331211, -0.40825188400976653, 0.018787079391483053], [7.514761231571649, -0.40677840830843104, 0.6928381845302944]]",5.880962104797363
3,3,0.6513348865437052,"[[10.291552530068254, -0.22964746433590721, 0.5374625364910223], [13.324683793880961, 0.10252689977216745, 0.1629369665831245], [1.9761328599968375, -0.1674481661630307, 0.4082778724417211], [10.078083732889562, -0.11715737772125123, 0.07770646953673177], [8.438633367103693, -0.4056514573758224, 0.7244822213470496], [15.995742900539176, -0.21923448215794916, 0.17395724521689648], [19.74320032345171, -0.45950979477489395, 0.3758025405849129], [7.70047703724954, 0.43231219749479854, 0.7716049422640215], [6.578607768331211, -0.40825188400976653, 0.018787079391483053], [7.514761231571649, -0.40677840830843104, 0.6928381845302944]]",7.841282806396484
4,4,0.6513348865437052,"[[10.291552530068254, -0.22964746433590721, 0.5374625364910223], [13.324683793880961, 0.10252689977216745, 0.1629369665831245], [1.9761328599968375, -0.1674481661630307, 0.4082778724417211], [10.078083732889562, -0.11715737772125123, 0.07770646953673177], [8.438633367103693, -0.4056514573758224, 0.7244822213470496], [15.995742900539176, -0.21923448215794916, 0.17395724521689648], [19.74320032345171, -0.45950979477489395, 0.3758025405849129], [7.70047703724954, 0.43231219749479854, 0.7716049422640215], [6.578607768331211, -0.40825188400976653, 0.018787079391483053], [7.514761231571649, -0.40677840830843104, 0.6928381845302944]]",9.801603507995605
5,5,0.7242549013473927,"[[7.414074998279805, -0.4578904009623974, 0.7019269268240578], [19.27007385766404, 0.1980784794272925, 0.5244987926097098], [1.5043403142204625, -0.0663955742439073, 0.10911180179982316], [8.677358579502837, -0.3928993442964178, 0.035685840001565605], [2.8269426045465162, 0.06810303876127488, 0.26000000942432355], [2.210622604967669, -0.49093579466413007, 0.5621197559363493], [4.228810903612531, 0.26918613662126867, 0.7482459372137498], [1.651022787144707, 0.14810336696045623, 0.17756712289470789], [5.789197615517661, -0.20118942683457486, 0.2549742107121912], [10.33155366362809, -0.22301753065148022, 0.5343451497840571]]",11.761924209594726
6,6,0.7242549013473927,"[[7.414074998279805, -0.4578904009623974, 0.7019269268240578], [19.27007385766404, 0.1980784794272925, 0.5244987926097098], [1.5043403142204625, -0.0663955742439073, 0.10911180179982316], [8.677358579502837, -0.3928993442964178, 0.035685840001565605], [2.8269426045465162, 0.06810303876127488, 0.26000000942432355], [2.210622604967669, -0.49093579466413007, 0.5621197559363493], [4.228810903612531, 0.26918613662126867, 0.7482459372137498], [1.651022787144707, 0.14810336696045623, 0.17756712289470789], [5.789197615517661, -0.20118942683457486, 0.2549742107121912], [10.33155366362809, -0.22301753065148022, 0.5343451497840571]]",13.722244911193847
7,7,0.7242549013473927,"[[7.414074998279805, -0.4578904009623974, 0.7019269268240578], [19.27007385766404, 0.1980784794272925, 0.5244987926097098], [1.5043403142204625, -0.0663955742439073, 0.10911180179982316], [8.677358579502837, -0.3928993442964178, 0.035685840001565605], [2.8269426045465162, 0.06810303876127488, 0.26000000942432355], [2.210622604967669, -0.49093579466413007, 0.5621197559363493], [4.228810903612531, 0.26918613662126867, 0.7482459372137498], [1.651022787144707, 0.14810336696045623, 0.17756712289470789], [5.789197615517661, -0.20118942683457486, 0.2549742107121912], [10.33155366362809, -0.22301753065148022, 0.5343451497840571]]",15.682565612792969
8,8,0.7242549013473927,"[[7.414074998279805, -0.4578904009623974, 0.7019269268240578], [19.27007385766404, 0.1980784794272925, 0.5244987926097098], [1.5043403142204625, -0.0663955742439073, 0.10911180179982316], [8.677358579502837, -0.3928993442964178, 0.035685840001565605], [2.8269426045465162, 0.06810303876127488, 0.26000000942432355], [2.210622604967669, -0.49093579466413007, 0.5621197559363493], [4.228810903612531, 0.26918613662126867, 0.7482459372137498], [1.651022787144707, 0.14810336696045623, 0.17756712289470789], [5.789197615517661, -0.20118942683457486, 0.2549742107121912], [10.33155366362809, -0.22301753065148022, 0.5343451497840571]]",17.64288631439209
9,9,0.7242549013473927,"[[7.414074998279805, -0.4578904009623974, 0.7019269268240578], [19.27007385766404, 0.1980784794272925, 0.5244987926097098], [1.5043403142204625, -0.0663955742439073, 0.10911180179982316], [8.677358579502837, -0.3928993442964178, 0.035685840001565605], [2.8269426045465162, 0.06810303876127488, 0.26000000942432355], [2.210622604967669, -0.49093579466413007, 0.5621197559363493], [4.228810903612531, 0.26918613662126867, 0.7482459372137498], [1.651022787144707, 0.14810336696045623, 0.17756712289470789], [5.789197615517661, -0.20118942683457486, 0.2549742107121912], [10.33155366362809, -0.22301753065148022, 0.5343451497840571]]",19.60320701599121
