,Generations,EA Fitness Values,EA Health States,time
0,0,0.3322342381855471,"[[8.219925825902612, 0.676435998426318, -0.5], [3.507023715892933, 0.7479111383698497, 0.4736539116605739], [20, 0.04380894818728207, 0.5], [16.93581953460069, 0, -0.5], [0, 0, 0.17162799902922568], [20, 1, -0.09991894744918153], [14.66941932887658, 0.14901781743939144, 0.5], [0.12991956406155758, 0.8720243767908682, -0.12369891846554137], [4.920736419814411, 0.3798729579191758, 0.45802902367454956], [4.920736419814411, 0.3798729579191758, 0.45802902367454956]]",1.2025054454803468
1,1,0.3322342381855471,"[[8.219925825902612, 0.676435998426318, -0.5], [3.507023715892933, 0.7479111383698497, 0.4736539116605739], [20, 0.04380894818728207, 0.5], [16.93581953460069, 0, -0.5], [0, 0, 0.17162799902922568], [20, 1, -0.09991894744918153], [14.66941932887658, 0.14901781743939144, 0.5], [0.12991956406155758, 0.8720243767908682, -0.12369891846554137], [4.920736419814411, 0.3798729579191758, 0.45802902367454956], [4.920736419814411, 0.3798729579191758, 0.45802902367454956]]",2.4050108909606935
2,2,0.3322342381855471,"[[8.219925825902612, 0.676435998426318, -0.5], [3.507023715892933, 0.7479111383698497, 0.4736539116605739], [20, 0.04380894818728207, 0.5], [16.93581953460069, 0, -0.5], [0, 0, 0.17162799902922568], [20, 1, -0.09991894744918153], [14.66941932887658, 0.14901781743939144, 0.5], [0.12991956406155758, 0.8720243767908682, -0.12369891846554137], [4.920736419814411, 0.3798729579191758, 0.45802902367454956], [4.920736419814411, 0.3798729579191758, 0.45802902367454956]]",3.60751633644104
3,3,0.3322342381855471,"[[8.219925825902612, 0.676435998426318, -0.5], [3.507023715892933, 0.7479111383698497, 0.4736539116605739], [20, 0.04380894818728207, 0.5], [16.93581953460069, 0, -0.5], [0, 0, 0.17162799902922568], [20, 1, -0.09991894744918153], [14.66941932887658, 0.14901781743939144, 0.5], [0.12991956406155758, 0.8720243767908682, -0.12369891846554137], [4.920736419814411, 0.3798729579191758, 0.45802902367454956], [4.920736419814411, 0.3798729579191758, 0.45802902367454956]]",4.810021781921387
4,4,0.3322342381855471,"[[8.219925825902612, 0.676435998426318, -0.5], [3.507023715892933, 0.7479111383698497, 0.4736539116605739], [20, 0.04380894818728207, 0.5], [16.93581953460069, 0, -0.5], [0, 0, 0.17162799902922568], [20, 1, -0.09991894744918153], [14.66941932887658, 0.14901781743939144, 0.5], [0.12991956406155758, 0.8720243767908682, -0.12369891846554137], [4.920736419814411, 0.3798729579191758, 0.45802902367454956], [4.920736419814411, 0.3798729579191758, 0.45802902367454956]]",6.012527227401733
5,5,0.3322342381855471,"[[8.219925825902612, 0.676435998426318, -0.5], [3.507023715892933, 0.7479111383698497, 0.4736539116605739], [20, 0.04380894818728207, 0.5], [16.93581953460069, 0, -0.5], [0, 0, 0.17162799902922568], [20, 1, -0.09991894744918153], [14.66941932887658, 0.14901781743939144, 0.5], [0.12991956406155758, 0.8720243767908682, -0.12369891846554137], [4.920736419814411, 0.3798729579191758, 0.45802902367454956], [4.920736419814411, 0.3798729579191758, 0.45802902367454956]]",7.21503267288208
6,6,0.3322342381855471,"[[8.219925825902612, 0.676435998426318, -0.5], [3.507023715892933, 0.7479111383698497, 0.4736539116605739], [20, 0.04380894818728207, 0.5], [16.93581953460069, 0, -0.5], [0, 0, 0.17162799902922568], [20, 1, -0.09991894744918153], [14.66941932887658, 0.14901781743939144, 0.5], [0.12991956406155758, 0.8720243767908682, -0.12369891846554137], [4.920736419814411, 0.3798729579191758, 0.45802902367454956], [4.920736419814411, 0.3798729579191758, 0.45802902367454956]]",8.417538118362426
7,7,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",9.620043563842774
8,8,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",10.82254900932312
9,9,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",12.025054454803467
10,10,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",13.227559900283813
11,11,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",14.43006534576416
12,12,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",15.632570791244508
13,13,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",16.835076236724852
14,14,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",18.0375816822052
15,15,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",19.24008712768555
16,16,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",20.442592573165893
17,17,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",21.64509801864624
18,18,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",22.847603464126585
19,19,0.3561779284131156,"[[20, 0.4679913252440109, 0.03409172466572477], [9.081848270064295, 0.3988296245673121, 0.3604945484314517], [20, 0.3988296245673121, -0.5], [9.07025678977423, 0.6506237572097435, -0.40097084926282894], [11.474457871597323, 0.6774388190415718, -0.020964660126541773], [0, 0.1861151767080111, -0.5], [14.94228353675783, 0, 0.05871645125457127], [0, 0.7392672849399755, -0.39782839775028767], [15.7172319437793, 0.8877607637169693, -0.19589250920304596], [0, 1, 0.09888598095326728]]",24.050108909606934
20,20,0.3603894811763454,"[[20, 0.0762993459622603, 0.37232150130165276], [6.004000867383208, 0, 0.3379957502517302], [20, 0.7281169038642349, -0.47918079355358284], [3.552403857469719, 0.5522055511414173, 0.477655228096532], [3.552403857469719, 0.5522055511414173, -0.3574453360576909], [5.567238662894461, 1, -0.12135282275697945], [6.244477467229105, 0.3371279013102148, 0.10220980802069884], [3.6171707140036076, 0.1620573886755504, -0.5], [0, 0.7786857378797253, 0.07618245765738207], [0, 0.2705333809743978, -0.13834691333585203]]",25.25261435508728
21,21,0.3603894811763454,"[[20, 0.0762993459622603, 0.37232150130165276], [6.004000867383208, 0, 0.3379957502517302], [20, 0.7281169038642349, -0.47918079355358284], [3.552403857469719, 0.5522055511414173, 0.477655228096532], [3.552403857469719, 0.5522055511414173, -0.3574453360576909], [5.567238662894461, 1, -0.12135282275697945], [6.244477467229105, 0.3371279013102148, 0.10220980802069884], [3.6171707140036076, 0.1620573886755504, -0.5], [0, 0.7786857378797253, 0.07618245765738207], [0, 0.2705333809743978, -0.13834691333585203]]",26.455119800567626
22,22,0.3603894811763454,"[[20, 0.0762993459622603, 0.37232150130165276], [6.004000867383208, 0, 0.3379957502517302], [20, 0.7281169038642349, -0.47918079355358284], [3.552403857469719, 0.5522055511414173, 0.477655228096532], [3.552403857469719, 0.5522055511414173, -0.3574453360576909], [5.567238662894461, 1, -0.12135282275697945], [6.244477467229105, 0.3371279013102148, 0.10220980802069884], [3.6171707140036076, 0.1620573886755504, -0.5], [0, 0.7786857378797253, 0.07618245765738207], [0, 0.2705333809743978, -0.13834691333585203]]",27.657625246047974
23,23,0.36082251788053776,"[[4.743516338922888, 0.4023909306960627, -0.32091817552787294], [3.751878693243868, 0.3660693074600838, 0.5], [0, 1, -0.28099901322043286], [0, 1, 0.4939212593349137], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5]]",28.86013069152832
24,24,0.36082251788053776,"[[4.743516338922888, 0.4023909306960627, -0.32091817552787294], [3.751878693243868, 0.3660693074600838, 0.5], [0, 1, -0.28099901322043286], [0, 1, 0.4939212593349137], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5]]",30.062636137008667
25,25,0.36082251788053776,"[[4.743516338922888, 0.4023909306960627, -0.32091817552787294], [3.751878693243868, 0.3660693074600838, 0.5], [0, 1, -0.28099901322043286], [0, 1, 0.4939212593349137], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5]]",31.265141582489015
26,26,0.36082251788053776,"[[4.743516338922888, 0.4023909306960627, -0.32091817552787294], [3.751878693243868, 0.3660693074600838, 0.5], [0, 1, -0.28099901322043286], [0, 1, 0.4939212593349137], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5]]",32.46764702796936
27,27,0.36082251788053776,"[[4.743516338922888, 0.4023909306960627, -0.32091817552787294], [3.751878693243868, 0.3660693074600838, 0.5], [0, 1, -0.28099901322043286], [0, 1, 0.4939212593349137], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [0, 0.5332766683969077, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5], [14.122764219265303, 1, -0.5]]",33.670152473449704
