,Generations,CCEA Fitness Values,Best_Sol,time
0,0,2.2476693129339984,"[[20, -0.07139016105681706, 0.20589443196496227], [11.208611571406372, -0.11319196919998759, 0.05662693011204689], [9.723705055042036, 0.15125428600497504, 0.9386598987427717], [10.078540539683942, -0.16935062569452142, 0.32260006342098746], [17.36959435417383, 0.3495502310247314, 0.8040648447371741], [9.658554476468359, 0.5, 0.3648724085003518], [9.041453455286344, -0.23865302155605636, 1], [1, 0.04959943044716367, 0.7820360172695155], [5.471268338362755, -0.06423764096794848, 0.8179116948082432], [20, -0.5, 0.6782990254772794]]",1.415419535636902
1,1,2.2747725305317323,"[[19.823439333155196, 0.26192987555077796, 1], [5.000771983036397, -0.12384645438256739, 0.7646693774554765], [17.03947775520481, -0.0535206037562288, 0.3389541596837019], [4.748054450968008, 0.5, 0.45653508612033794], [7.415427456193399, 0.040772183170053024, 0.9665456744591601], [20, 0.5, 0.3007776128557903], [20, -0.07421720116986763, 0.1996251422509262], [20, 0.2875167736772126, 0.9041835190634596], [15.677994440651108, -0.466033947304192, 0.6264185860371256], [4.882889175763875, 0.17978259517545103, 0.41028345011900497]]",2.830839071273804
2,2,2.2747725305317323,"[[19.823439333155196, 0.26192987555077796, 1], [5.000771983036397, -0.12384645438256739, 0.7646693774554765], [17.03947775520481, -0.0535206037562288, 0.3389541596837019], [4.748054450968008, 0.5, 0.45653508612033794], [7.415427456193399, 0.040772183170053024, 0.9665456744591601], [20, 0.5, 0.3007776128557903], [20, -0.07421720116986763, 0.1996251422509262], [20, 0.2875167736772126, 0.9041835190634596], [15.677994440651108, -0.466033947304192, 0.6264185860371256], [4.882889175763875, 0.17978259517545103, 0.41028345011900497]]",4.246258606910706
3,3,2.306244782468398,"[[17.42511650673157, -0.2382360164951049, 0.05007281588180157], [5.913852787855238, 0.42561236825874527, 1], [1, 0.004132895349743898, 0.6835302959149617], [20, -0.2192538612978864, 0.1513892434214135], [15.122006878472947, 0.4051277808555523, 0.7062886003363242], [6.224242437749073, -0.08328856360747094, 0.8617283896874083], [12.097395047329364, 0.09536431876850812, 0.9152386767165512], [11.385611140237838, -0.0058774765976289806, 0], [1.3074521481437997, 0.3964544512199522, 0.6784893823666137], [11.628041899787123, -0.5, 0.6561762330893067]]",5.661678142547608
4,4,2.3422660154330397,"[[17.726571749810248, -0.2382360164951049, 0.5985230977292384], [11.79699807386916, -0.1597172747809633, 1], [1, 0.09140078116616411, 1], [8.517886936671427, 0.06886600647525687, 0.21030201772203122], [6.535583035716101, 0.0387541596407836, 0.4622643184932531], [7.047872312658789, 0.23287126358554844, 0.2571302876759339], [20, 0.09034530184119724, 0.19913536925273678], [18.140489868178506, 0.015946458049934664, 0.9582436624499108], [1, 0.033982295040049446, 0.9130928732107224], [9.129849193051887, 0.43744277374781704, 0.5322008457963974]]",7.07709767818451
5,5,2.4146663055156514,"[[5.50893445352222, -0.047096942436861355, 1], [11.389241618896017, 0.41078065656137086, 0.9195737507786746], [6.702100408157928, -0.18352451575777465, 0.8251254150289266], [8.517886936671427, 0.06886600647525687, 0.21030201772203122], [3.096078014296844, 0.040772183170053024, 0.7943302707938864], [7.047872312658789, 0.23287126358554844, 0.2571302876759339], [8.017540452077379, -0.21406071552570372, 0.46747338226428736], [4.716733659473501, -0.2014942475274968, 0.33061181874582657], [1, 0.3210072497338584, 0.3513294048926904], [1, -0.04475551824499974, 0.27545331446225824]]",8.492517213821412
6,6,2.425397625061011,"[[5.789178081981733, 0.5, 0.928401128267694], [19.409233734264642, 0.26267391966192016, 0.6754461273024346], [1, -0.38377000270862915, 0.1585692160839313], [3.765415700390582, 0.02356653676653475, 1], [15.122006878472947, 0.4051277808555523, 0.7062886003363242], [7.047872312658789, 0.23287126358554844, 0.2571302876759339], [15.333556445376782, -0.23865302155605636, 0.4212997702336101], [13.169800987569397, -0.1270258183808891, 0.5308966696537499], [4.230206803696361, -0.055251208203064284, 0.7560700487542534], [1, -0.04475551824499974, 0.27545331446225824]]",9.907936749458313
7,7,2.425397625061011,"[[5.789178081981733, 0.5, 0.928401128267694], [19.409233734264642, 0.26267391966192016, 0.6754461273024346], [1, -0.38377000270862915, 0.1585692160839313], [3.765415700390582, 0.02356653676653475, 1], [15.122006878472947, 0.4051277808555523, 0.7062886003363242], [7.047872312658789, 0.23287126358554844, 0.2571302876759339], [15.333556445376782, -0.23865302155605636, 0.4212997702336101], [13.169800987569397, -0.1270258183808891, 0.5308966696537499], [4.230206803696361, -0.055251208203064284, 0.7560700487542534], [1, -0.04475551824499974, 0.27545331446225824]]",11.323356285095215
8,8,3.207305865636812,"[[5.50893445352222, -0.047096942436861355, 1], [11.718799049335352, -0.29911017386753735, 0.4007382050647467], [3.878005394347546, 0.5, 0.5874781390503018], [3.765415700390582, 0.5, 0.8262057212201751], [6.535583035716101, 0.0387541596407836, 0.4622643184932531], [6.224242437749073, -0.10082177790730495, 0.2061247370497185], [20, 0.09034530184119724, 0.19913536925273678], [17.649808253770953, 0.3295931137947511, 0.116387244937072], [1.4344293841189613, 0.04265460484762812, 0.9964826307106949], [17.637210468122976, 0.46194444958284975, 0.5070709237797982]]",12.738775820732117
9,9,3.207305865636812,"[[5.50893445352222, -0.047096942436861355, 1], [11.718799049335352, -0.29911017386753735, 0.4007382050647467], [3.878005394347546, 0.5, 0.5874781390503018], [3.765415700390582, 0.5, 0.8262057212201751], [6.535583035716101, 0.0387541596407836, 0.4622643184932531], [6.224242437749073, -0.10082177790730495, 0.2061247370497185], [20, 0.09034530184119724, 0.19913536925273678], [17.649808253770953, 0.3295931137947511, 0.116387244937072], [1.4344293841189613, 0.04265460484762812, 0.9964826307106949], [17.637210468122976, 0.46194444958284975, 0.5070709237797982]]",14.15419535636902
10,10,3.207305865636812,"[[5.50893445352222, -0.047096942436861355, 1], [11.718799049335352, -0.29911017386753735, 0.4007382050647467], [3.878005394347546, 0.5, 0.5874781390503018], [3.765415700390582, 0.5, 0.8262057212201751], [6.535583035716101, 0.0387541596407836, 0.4622643184932531], [6.224242437749073, -0.10082177790730495, 0.2061247370497185], [20, 0.09034530184119724, 0.19913536925273678], [17.649808253770953, 0.3295931137947511, 0.116387244937072], [1.4344293841189613, 0.04265460484762812, 0.9964826307106949], [17.637210468122976, 0.46194444958284975, 0.5070709237797982]]",15.569614892005921
11,11,3.207305865636812,"[[5.50893445352222, -0.047096942436861355, 1], [11.718799049335352, -0.29911017386753735, 0.4007382050647467], [3.878005394347546, 0.5, 0.5874781390503018], [3.765415700390582, 0.5, 0.8262057212201751], [6.535583035716101, 0.0387541596407836, 0.4622643184932531], [6.224242437749073, -0.10082177790730495, 0.2061247370497185], [20, 0.09034530184119724, 0.19913536925273678], [17.649808253770953, 0.3295931137947511, 0.116387244937072], [1.4344293841189613, 0.04265460484762812, 0.9964826307106949], [17.637210468122976, 0.46194444958284975, 0.5070709237797982]]",16.985034427642823
12,12,3.207305865636812,"[[5.50893445352222, -0.047096942436861355, 1], [11.718799049335352, -0.29911017386753735, 0.4007382050647467], [3.878005394347546, 0.5, 0.5874781390503018], [3.765415700390582, 0.5, 0.8262057212201751], [6.535583035716101, 0.0387541596407836, 0.4622643184932531], [6.224242437749073, -0.10082177790730495, 0.2061247370497185], [20, 0.09034530184119724, 0.19913536925273678], [17.649808253770953, 0.3295931137947511, 0.116387244937072], [1.4344293841189613, 0.04265460484762812, 0.9964826307106949], [17.637210468122976, 0.46194444958284975, 0.5070709237797982]]",18.400453963279723
