,Generations,EA Fitness Values,EA Health States,time
0,0,0.32843407557575643,"[[0, 1, 0.5], [1.7618216101538204, 0.434724117927385, -0.5], [13.505152096659824, 0.31940666333440243, -0.09576501189860079], [0, 0.07135120331472664, -0.5], [6.614401520840628, 0.620367446209192, 0.5], [20, 0.32480909342915243, 0.35841557591782236], [0, 0.3034330764538355, -0.4064965927562644], [7.845490870613973, 0.7487482671818408, 0.487439688826649], [7.845490870613973, 0.5502615922635676, 0.16952750623450974], [6.858826755712691, 1, -0.2515700441343798]]",1.2247054767608643
1,1,0.32843407557575643,"[[0, 1, 0.5], [1.7618216101538204, 0.434724117927385, -0.5], [13.505152096659824, 0.31940666333440243, -0.09576501189860079], [0, 0.07135120331472664, -0.5], [6.614401520840628, 0.620367446209192, 0.5], [20, 0.32480909342915243, 0.35841557591782236], [0, 0.3034330764538355, -0.4064965927562644], [7.845490870613973, 0.7487482671818408, 0.487439688826649], [7.845490870613973, 0.5502615922635676, 0.16952750623450974], [6.858826755712691, 1, -0.2515700441343798]]",2.4494109535217286
2,2,0.3433707460176462,"[[0, 0.819221095417822, 0.02391801258904107], [0.8581857350074719, 0.9624475307848411, -0.5], [0.8581857350074719, 0.9624475307848411, -0.5], [16.800060298075913, 0.8253606507907986, 0.30551491953299004], [0, 0.7864625134174508, -0.290734988887811], [0, 0.7864625134174508, 0.39365063133731537], [9.841279134532218, 0.5187319921759631, -0.43591754005196576], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [12.34328431011758, 0.4878595664268099, 0.3782168385348352]]",3.674116430282593
3,3,0.3433707460176462,"[[0, 0.819221095417822, 0.02391801258904107], [0.8581857350074719, 0.9624475307848411, -0.5], [0.8581857350074719, 0.9624475307848411, -0.5], [16.800060298075913, 0.8253606507907986, 0.30551491953299004], [0, 0.7864625134174508, -0.290734988887811], [0, 0.7864625134174508, 0.39365063133731537], [9.841279134532218, 0.5187319921759631, -0.43591754005196576], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [12.34328431011758, 0.4878595664268099, 0.3782168385348352]]",4.898821907043457
4,4,0.3433707460176462,"[[0, 0.819221095417822, 0.02391801258904107], [0.8581857350074719, 0.9624475307848411, -0.5], [0.8581857350074719, 0.9624475307848411, -0.5], [16.800060298075913, 0.8253606507907986, 0.30551491953299004], [0, 0.7864625134174508, -0.290734988887811], [0, 0.7864625134174508, 0.39365063133731537], [9.841279134532218, 0.5187319921759631, -0.43591754005196576], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [12.34328431011758, 0.4878595664268099, 0.3782168385348352]]",6.123527383804321
5,5,0.3433707460176462,"[[0, 0.819221095417822, 0.02391801258904107], [0.8581857350074719, 0.9624475307848411, -0.5], [0.8581857350074719, 0.9624475307848411, -0.5], [16.800060298075913, 0.8253606507907986, 0.30551491953299004], [0, 0.7864625134174508, -0.290734988887811], [0, 0.7864625134174508, 0.39365063133731537], [9.841279134532218, 0.5187319921759631, -0.43591754005196576], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [12.34328431011758, 0.4878595664268099, 0.3782168385348352]]",7.348232860565186
6,6,0.3433707460176462,"[[0, 0.819221095417822, 0.02391801258904107], [0.8581857350074719, 0.9624475307848411, -0.5], [0.8581857350074719, 0.9624475307848411, -0.5], [16.800060298075913, 0.8253606507907986, 0.30551491953299004], [0, 0.7864625134174508, -0.290734988887811], [0, 0.7864625134174508, 0.39365063133731537], [9.841279134532218, 0.5187319921759631, -0.43591754005196576], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [12.34328431011758, 0.4878595664268099, 0.3782168385348352]]",8.57293833732605
7,7,0.3433707460176462,"[[0, 0.819221095417822, 0.02391801258904107], [0.8581857350074719, 0.9624475307848411, -0.5], [0.8581857350074719, 0.9624475307848411, -0.5], [16.800060298075913, 0.8253606507907986, 0.30551491953299004], [0, 0.7864625134174508, -0.290734988887811], [0, 0.7864625134174508, 0.39365063133731537], [9.841279134532218, 0.5187319921759631, -0.43591754005196576], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [12.34328431011758, 0.4878595664268099, 0.3782168385348352]]",9.797643814086914
8,8,0.3433707460176462,"[[0, 0.819221095417822, 0.02391801258904107], [0.8581857350074719, 0.9624475307848411, -0.5], [0.8581857350074719, 0.9624475307848411, -0.5], [16.800060298075913, 0.8253606507907986, 0.30551491953299004], [0, 0.7864625134174508, -0.290734988887811], [0, 0.7864625134174508, 0.39365063133731537], [9.841279134532218, 0.5187319921759631, -0.43591754005196576], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [12.34328431011758, 0.4878595664268099, 0.3782168385348352]]",11.022349290847778
9,9,0.3433707460176462,"[[0, 0.819221095417822, 0.02391801258904107], [0.8581857350074719, 0.9624475307848411, -0.5], [0.8581857350074719, 0.9624475307848411, -0.5], [16.800060298075913, 0.8253606507907986, 0.30551491953299004], [0, 0.7864625134174508, -0.290734988887811], [0, 0.7864625134174508, 0.39365063133731537], [9.841279134532218, 0.5187319921759631, -0.43591754005196576], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [18.9073987688084, 0.2748168170656449, 0.17541079236517454], [12.34328431011758, 0.4878595664268099, 0.3782168385348352]]",12.247054767608642
