,Generations,EA Fitness Values,EA Health States,time
0,0,0.7023459515838226,"[[5.417300432385293, -8.363924760518282e-05, 0.31741448091939745], [5.792542013195893, -0.3113695660570089, 0.6567116188623803], [5.792542013195893, -0.3113695660570089, 0.6567116188623803], [8.349548378156573, 0.14137600007584367, 0.6882484766957124], [14.35247942946357, -0.44288454953041034, 1], [20, -0.5, 0.8782880901439547], [1, 0.49528853013527274, 0.936954001142249], [7.442658818386548, 0.2643679799392745, 0.9513831474808639], [7.442658818386548, 0.2643679799392745, 0.9513831474808639], [3.981356078662925, 0.1366513751878605, 0.755134904180096]]",2.053778200149536
1,1,0.7449154642417963,"[[1, -0.16524942855092928, 0.9888802529092159], [1, -0.16524942855092928, 0.9888802529092159], [20, 0.30632846701914396, 1], [10.855548526636916, -0.27545558910692874, 1], [1, -0.13301213926919045, 0.3267809574300395], [14.44117728364102, -0.2622810684414737, 0.859366450203497], [2.175752617903372, -0.007940656117986597, 0.254470520765954], [1, -0.5, 0.7184852276179705], [3.0410322071559692, 0.5, 1], [8.045149818546985, 0.5, 0.8933220679197946]]",4.107556400299072
2,2,0.7449154642417963,"[[1, -0.16524942855092928, 0.9888802529092159], [1, -0.16524942855092928, 0.9888802529092159], [20, 0.30632846701914396, 1], [10.855548526636916, -0.27545558910692874, 1], [1, -0.13301213926919045, 0.3267809574300395], [14.44117728364102, -0.2622810684414737, 0.859366450203497], [2.175752617903372, -0.007940656117986597, 0.254470520765954], [1, -0.5, 0.7184852276179705], [3.0410322071559692, 0.5, 1], [8.045149818546985, 0.5, 0.8933220679197946]]",6.161334600448608
3,3,0.7449154642417963,"[[1, -0.16524942855092928, 0.9888802529092159], [1, -0.16524942855092928, 0.9888802529092159], [20, 0.30632846701914396, 1], [10.855548526636916, -0.27545558910692874, 1], [1, -0.13301213926919045, 0.3267809574300395], [14.44117728364102, -0.2622810684414737, 0.859366450203497], [2.175752617903372, -0.007940656117986597, 0.254470520765954], [1, -0.5, 0.7184852276179705], [3.0410322071559692, 0.5, 1], [8.045149818546985, 0.5, 0.8933220679197946]]",8.215112800598144
4,4,0.7449154642417963,"[[1, -0.16524942855092928, 0.9888802529092159], [1, -0.16524942855092928, 0.9888802529092159], [20, 0.30632846701914396, 1], [10.855548526636916, -0.27545558910692874, 1], [1, -0.13301213926919045, 0.3267809574300395], [14.44117728364102, -0.2622810684414737, 0.859366450203497], [2.175752617903372, -0.007940656117986597, 0.254470520765954], [1, -0.5, 0.7184852276179705], [3.0410322071559692, 0.5, 1], [8.045149818546985, 0.5, 0.8933220679197946]]",10.268891000747681
5,5,0.7449154642417963,"[[1, -0.16524942855092928, 0.9888802529092159], [1, -0.16524942855092928, 0.9888802529092159], [20, 0.30632846701914396, 1], [10.855548526636916, -0.27545558910692874, 1], [1, -0.13301213926919045, 0.3267809574300395], [14.44117728364102, -0.2622810684414737, 0.859366450203497], [2.175752617903372, -0.007940656117986597, 0.254470520765954], [1, -0.5, 0.7184852276179705], [3.0410322071559692, 0.5, 1], [8.045149818546985, 0.5, 0.8933220679197946]]",12.322669200897217
6,6,0.7449154642417963,"[[1, -0.16524942855092928, 0.9888802529092159], [1, -0.16524942855092928, 0.9888802529092159], [20, 0.30632846701914396, 1], [10.855548526636916, -0.27545558910692874, 1], [1, -0.13301213926919045, 0.3267809574300395], [14.44117728364102, -0.2622810684414737, 0.859366450203497], [2.175752617903372, -0.007940656117986597, 0.254470520765954], [1, -0.5, 0.7184852276179705], [3.0410322071559692, 0.5, 1], [8.045149818546985, 0.5, 0.8933220679197946]]",14.376447401046754
7,7,0.7449154642417963,"[[1, -0.16524942855092928, 0.9888802529092159], [1, -0.16524942855092928, 0.9888802529092159], [20, 0.30632846701914396, 1], [10.855548526636916, -0.27545558910692874, 1], [1, -0.13301213926919045, 0.3267809574300395], [14.44117728364102, -0.2622810684414737, 0.859366450203497], [2.175752617903372, -0.007940656117986597, 0.254470520765954], [1, -0.5, 0.7184852276179705], [3.0410322071559692, 0.5, 1], [8.045149818546985, 0.5, 0.8933220679197946]]",16.430225601196287
8,8,0.7449154642417963,"[[1, -0.16524942855092928, 0.9888802529092159], [1, -0.16524942855092928, 0.9888802529092159], [20, 0.30632846701914396, 1], [10.855548526636916, -0.27545558910692874, 1], [1, -0.13301213926919045, 0.3267809574300395], [14.44117728364102, -0.2622810684414737, 0.859366450203497], [2.175752617903372, -0.007940656117986597, 0.254470520765954], [1, -0.5, 0.7184852276179705], [3.0410322071559692, 0.5, 1], [8.045149818546985, 0.5, 0.8933220679197946]]",18.484003801345825
9,9,0.7449154642417963,"[[1, -0.16524942855092928, 0.9888802529092159], [1, -0.16524942855092928, 0.9888802529092159], [20, 0.30632846701914396, 1], [10.855548526636916, -0.27545558910692874, 1], [1, -0.13301213926919045, 0.3267809574300395], [14.44117728364102, -0.2622810684414737, 0.859366450203497], [2.175752617903372, -0.007940656117986597, 0.254470520765954], [1, -0.5, 0.7184852276179705], [3.0410322071559692, 0.5, 1], [8.045149818546985, 0.5, 0.8933220679197946]]",20.537782001495362
