,Generations,Random Fitness Values,Random Health States,time
0,0,0.3289244363597632,"[[7.680706928789731, 0.2882577432739102, -0.4553879226555463], [8.610624241420929, 0.4319219288982896, 0.12319427419962914], [6.3179693849319545, 0.08909158180232912, -0.09375621457684347], [15.07796025689772, 0.47741628666689173, -0.13165890507546074], [11.137687183293192, 0.6352490575461257, 0.1920077317107537], [12.549542282214537, 0.861811645373191, -0.412759991148687], [2.1381680307905992, 0.7428310025815114, 0.07166858135725163], [1.279078469647179, 0.9376498651431884, -0.21327916774270883], [4.620980086891566, 0.5254495862273701, 0.4600859366507799], [4.530590115135443, 0.8999458105559761, 0.2504610794821769]]",1.3560091686248779
1,1,0.34245989394052206,"[[2.2144561631518167, 0.05502534623747801, -0.04441402360831381], [4.842864236119575, 0.5484513999445982, 0.43010165227110897], [17.73026865365638, 0.863360205070948, 0.21119448905237692], [5.23242828285321, 0.5297196469274086, -0.2330634256431312], [3.1799176406355656, 0.46612516390417724, -0.4743334938442], [1.0231218924804386, 0.5794412439588555, -0.22809396709622087], [17.87947680318166, 0.2903911610166706, -0.4947608106992091], [0.2627107901402925, 0.9596507648003996, -0.4927166271353416], [6.391707750686859, 0.32758811519728204, 0.15913189763062763], [10.18121297972037, 0.19386112858174975, 0.3954899167550775]]",2.7120183372497557
2,2,0.34245989394052206,"[[2.2144561631518167, 0.05502534623747801, -0.04441402360831381], [4.842864236119575, 0.5484513999445982, 0.43010165227110897], [17.73026865365638, 0.863360205070948, 0.21119448905237692], [5.23242828285321, 0.5297196469274086, -0.2330634256431312], [3.1799176406355656, 0.46612516390417724, -0.4743334938442], [1.0231218924804386, 0.5794412439588555, -0.22809396709622087], [17.87947680318166, 0.2903911610166706, -0.4947608106992091], [0.2627107901402925, 0.9596507648003996, -0.4927166271353416], [6.391707750686859, 0.32758811519728204, 0.15913189763062763], [10.18121297972037, 0.19386112858174975, 0.3954899167550775]]",4.068027505874634
3,3,0.34245989394052206,"[[2.2144561631518167, 0.05502534623747801, -0.04441402360831381], [4.842864236119575, 0.5484513999445982, 0.43010165227110897], [17.73026865365638, 0.863360205070948, 0.21119448905237692], [5.23242828285321, 0.5297196469274086, -0.2330634256431312], [3.1799176406355656, 0.46612516390417724, -0.4743334938442], [1.0231218924804386, 0.5794412439588555, -0.22809396709622087], [17.87947680318166, 0.2903911610166706, -0.4947608106992091], [0.2627107901402925, 0.9596507648003996, -0.4927166271353416], [6.391707750686859, 0.32758811519728204, 0.15913189763062763], [10.18121297972037, 0.19386112858174975, 0.3954899167550775]]",5.424036674499511
4,4,0.34245989394052206,"[[2.2144561631518167, 0.05502534623747801, -0.04441402360831381], [4.842864236119575, 0.5484513999445982, 0.43010165227110897], [17.73026865365638, 0.863360205070948, 0.21119448905237692], [5.23242828285321, 0.5297196469274086, -0.2330634256431312], [3.1799176406355656, 0.46612516390417724, -0.4743334938442], [1.0231218924804386, 0.5794412439588555, -0.22809396709622087], [17.87947680318166, 0.2903911610166706, -0.4947608106992091], [0.2627107901402925, 0.9596507648003996, -0.4927166271353416], [6.391707750686859, 0.32758811519728204, 0.15913189763062763], [10.18121297972037, 0.19386112858174975, 0.3954899167550775]]",6.780045843124389
5,5,0.34245989394052206,"[[2.2144561631518167, 0.05502534623747801, -0.04441402360831381], [4.842864236119575, 0.5484513999445982, 0.43010165227110897], [17.73026865365638, 0.863360205070948, 0.21119448905237692], [5.23242828285321, 0.5297196469274086, -0.2330634256431312], [3.1799176406355656, 0.46612516390417724, -0.4743334938442], [1.0231218924804386, 0.5794412439588555, -0.22809396709622087], [17.87947680318166, 0.2903911610166706, -0.4947608106992091], [0.2627107901402925, 0.9596507648003996, -0.4927166271353416], [6.391707750686859, 0.32758811519728204, 0.15913189763062763], [10.18121297972037, 0.19386112858174975, 0.3954899167550775]]",8.136055011749267
6,6,0.34245989394052206,"[[2.2144561631518167, 0.05502534623747801, -0.04441402360831381], [4.842864236119575, 0.5484513999445982, 0.43010165227110897], [17.73026865365638, 0.863360205070948, 0.21119448905237692], [5.23242828285321, 0.5297196469274086, -0.2330634256431312], [3.1799176406355656, 0.46612516390417724, -0.4743334938442], [1.0231218924804386, 0.5794412439588555, -0.22809396709622087], [17.87947680318166, 0.2903911610166706, -0.4947608106992091], [0.2627107901402925, 0.9596507648003996, -0.4927166271353416], [6.391707750686859, 0.32758811519728204, 0.15913189763062763], [10.18121297972037, 0.19386112858174975, 0.3954899167550775]]",9.492064180374145
7,7,0.34245989394052206,"[[2.2144561631518167, 0.05502534623747801, -0.04441402360831381], [4.842864236119575, 0.5484513999445982, 0.43010165227110897], [17.73026865365638, 0.863360205070948, 0.21119448905237692], [5.23242828285321, 0.5297196469274086, -0.2330634256431312], [3.1799176406355656, 0.46612516390417724, -0.4743334938442], [1.0231218924804386, 0.5794412439588555, -0.22809396709622087], [17.87947680318166, 0.2903911610166706, -0.4947608106992091], [0.2627107901402925, 0.9596507648003996, -0.4927166271353416], [6.391707750686859, 0.32758811519728204, 0.15913189763062763], [10.18121297972037, 0.19386112858174975, 0.3954899167550775]]",10.848073348999023
8,8,0.34250176907916463,"[[12.866712727680936, 0.8448499578733174, -0.4973998974960897], [2.096886886279272, 0.4811416628841466, 0.17571030870447968], [0.9841260373542937, 0.6889300515080243, -0.09114220027173658], [19.372663121417467, 0.0688237504453536, -0.4769911548885818], [14.204154031816747, 0.24212137933587707, 0.11973182175831332], [4.358125212207382, 0.8283971998056936, -0.3757311789213722], [2.9688718384724178, 0.5717945665004962, -0.22797648960909078], [2.1581930271102134, 0.9532380694392876, 0.2652496495769865], [8.986158884427407, 0.36550308903569384, 0.41692089190242854], [6.463102778005867, 0.7762328040994955, -0.1110785629501827]]",12.2040825176239
9,9,0.34250176907916463,"[[12.866712727680936, 0.8448499578733174, -0.4973998974960897], [2.096886886279272, 0.4811416628841466, 0.17571030870447968], [0.9841260373542937, 0.6889300515080243, -0.09114220027173658], [19.372663121417467, 0.0688237504453536, -0.4769911548885818], [14.204154031816747, 0.24212137933587707, 0.11973182175831332], [4.358125212207382, 0.8283971998056936, -0.3757311789213722], [2.9688718384724178, 0.5717945665004962, -0.22797648960909078], [2.1581930271102134, 0.9532380694392876, 0.2652496495769865], [8.986158884427407, 0.36550308903569384, 0.41692089190242854], [6.463102778005867, 0.7762328040994955, -0.1110785629501827]]",13.560091686248779
