,Generations,EA Fitness Values,EA Health States,time
0,0,0.6483387992170367,"[[7.149927690873776, 0.21302776919893418, 0.5376691662830738], [7.747602359450495, 0.12631466227574356, 1], [9.141628493929378, -0.35933168549013256, 0.311209126771047], [2.4234835484244193, -0.4672402529538665, 0.4322902219700548], [16.624150747949916, 0.20866953590792992, 0.3218290276440426], [4.681526799259242, -0.19892844637560814, 0.17851217916118867], [1.320536592152623, 0.33827937625680116, 0.7373580029473794], [15.16517205728804, -0.046263900756761324, 0.6118854670195113], [20, -0.15081797165887667, 0.27442458628809907], [11.06266301253191, 0.022027263904351377, 0.929155860557872]]",2.0117277693748474
1,1,0.6508169566128537,"[[4.541498223593178, 0.16073829677026413, 1], [1.1198868934401673, -0.0939474676646937, 0.5234170153626723], [1.1198868934401673, -0.13912831774301637, 0.6843026966136246], [1.1198868934401673, -0.13912831774301637, 0.6843026966136246], [20, 0.3610431129611388, 1], [8.960331926024818, 0.244298216276492, 0.5928863017365914], [3.465968135765097, -0.27314115640606557, 0.06870159351773708], [3.465968135765097, -0.27314115640606557, 0.06870159351773708], [3.465968135765097, -0.27314115640606557, 0.11195899311294966], [12.687481089427958, 0.5, 0]]",4.023455538749695
2,2,0.6661567958477893,"[[6.602730449220988, 0.5, 0], [2.2164001871685026, 0.5, 1], [20, -0.5, 0.25520191868862563], [2.175490309764744, 0.38291142338802325, 0.5925736184134337], [2.175490309764744, 0.38291142338802325, 0.5925736184134337], [5.239084418287108, 0.4291495751659511, 0.7730188405090085], [9.303255108485438, 0.304633403484552, 0.010358574153985722], [1.9933074220683649, -0.3656691443152847, 0.3642056476156615], [4.110963188390732, -0.20368772897215345, 0], [4.110963188390732, -0.20368772897215345, 0]]",6.035183308124542
3,3,0.6952397320037589,"[[1.9164656089116552, -0.32925182480859794, 0.5286535827690069], [1.9164656089116552, -0.32925182480859794, 0.5286535827690069], [2.1812840945133196, -0.3090303548882801, 0.6592988570248715], [1, -0.5, 0.7070165609561609], [20, -0.5, 0.7914266356673278], [3.3383598382572854, 0.08065877574158556, 0.9316259529377655], [11.59934638731578, -0.10006506549801092, 0.4681512636644434], [7.951606367157954, 0.04923697827911174, 0.8194502405519254], [5.818113036794389, -0.22682927145680148, 0.525842599989182], [10.24818877524614, -0.39590215465211875, 0]]",8.04691107749939
4,4,0.6952397320037589,"[[1.9164656089116552, -0.32925182480859794, 0.5286535827690069], [1.9164656089116552, -0.32925182480859794, 0.5286535827690069], [2.1812840945133196, -0.3090303548882801, 0.6592988570248715], [1, -0.5, 0.7070165609561609], [20, -0.5, 0.7914266356673278], [3.3383598382572854, 0.08065877574158556, 0.9316259529377655], [11.59934638731578, -0.10006506549801092, 0.4681512636644434], [7.951606367157954, 0.04923697827911174, 0.8194502405519254], [5.818113036794389, -0.22682927145680148, 0.525842599989182], [10.24818877524614, -0.39590215465211875, 0]]",10.058638846874237
5,5,0.6952397320037589,"[[1.9164656089116552, -0.32925182480859794, 0.5286535827690069], [1.9164656089116552, -0.32925182480859794, 0.5286535827690069], [2.1812840945133196, -0.3090303548882801, 0.6592988570248715], [1, -0.5, 0.7070165609561609], [20, -0.5, 0.7914266356673278], [3.3383598382572854, 0.08065877574158556, 0.9316259529377655], [11.59934638731578, -0.10006506549801092, 0.4681512636644434], [7.951606367157954, 0.04923697827911174, 0.8194502405519254], [5.818113036794389, -0.22682927145680148, 0.525842599989182], [10.24818877524614, -0.39590215465211875, 0]]",12.070366616249084
6,6,0.6956286252520125,"[[13.208032138996185, 0.16002277141401502, 0.10682526277638138], [6.208141043156822, 0.5, 1], [4.090154253738038, 0.20759483436716086, 0.4928170026870502], [2.9235809085756426, -0.0655986188073594, 0], [9.996521804876576, 0.19370414516155898, 0], [1, -0.2728871729870733, 0.43853312250644144], [1, -0.47912632574145453, 1], [2.707183305819977, -0.47912632574145453, 0], [1, -0.47912632574145453, 0.045247225880343384], [20, -0.5, 0.39403748378849324]]",14.082094385623932
7,7,0.6956286252520125,"[[13.208032138996185, 0.16002277141401502, 0.10682526277638138], [6.208141043156822, 0.5, 1], [4.090154253738038, 0.20759483436716086, 0.4928170026870502], [2.9235809085756426, -0.0655986188073594, 0], [9.996521804876576, 0.19370414516155898, 0], [1, -0.2728871729870733, 0.43853312250644144], [1, -0.47912632574145453, 1], [2.707183305819977, -0.47912632574145453, 0], [1, -0.47912632574145453, 0.045247225880343384], [20, -0.5, 0.39403748378849324]]",16.09382215499878
8,8,0.6956286252520125,"[[13.208032138996185, 0.16002277141401502, 0.10682526277638138], [6.208141043156822, 0.5, 1], [4.090154253738038, 0.20759483436716086, 0.4928170026870502], [2.9235809085756426, -0.0655986188073594, 0], [9.996521804876576, 0.19370414516155898, 0], [1, -0.2728871729870733, 0.43853312250644144], [1, -0.47912632574145453, 1], [2.707183305819977, -0.47912632574145453, 0], [1, -0.47912632574145453, 0.045247225880343384], [20, -0.5, 0.39403748378849324]]",18.105549924373626
9,9,0.7109896246552107,"[[9.795006554682793, -0.007826764894379237, 0.14812230085986766], [8.012520877819254, 0.14650493370050455, 0.6589532956033327], [8.012520877819254, 0.14650493370050455, 0.6589532956033327], [5.086099187465641, -0.0919182934261304, 1], [6.6561429534588985, 0.06399156186968025, 0.16745063699598237], [6.6561429534588985, 0.06399156186968025, 0.16745063699598237], [10.242020397836685, -0.3071902726694036, 0.7471712057395951], [8.940175429505663, -0.5, 0.5316459836162406], [1, -0.23489524564715691, 0], [20, -0.5, 0.015537427352884992]]",20.117277693748473
