,Generations,EA Fitness Values,EA Health States,time
0,0,0.7029505551068228,"[[10.651399780946237, 0.5, 0.860777245121121], [1.5206908112140267, 0.38525699322328344, 0.9754221386293702], [7.178426537198799, -0.04313968375823468, 0.39384561287512254], [17.03229601753154, 0.07357058088866925, 0.6576664259192935], [20, -0.0818892534339965, 0.3000453843051206], [13.425317422368884, 0.5, 0], [14.270959989229127, 0.4424151361376322, 0.9947807473630617], [16.043934245515338, 0.4424151361376322, 0.9514689192177739], [17.888853252858823, 0.1921673717826469, 0.22668763748249468], [15.278323303323864, 0.20024083850861638, 0.4667123960106615]]",1.9955496859550477
1,1,0.7029505551068228,"[[10.651399780946237, 0.5, 0.860777245121121], [1.5206908112140267, 0.38525699322328344, 0.9754221386293702], [7.178426537198799, -0.04313968375823468, 0.39384561287512254], [17.03229601753154, 0.07357058088866925, 0.6576664259192935], [20, -0.0818892534339965, 0.3000453843051206], [13.425317422368884, 0.5, 0], [14.270959989229127, 0.4424151361376322, 0.9947807473630617], [16.043934245515338, 0.4424151361376322, 0.9514689192177739], [17.888853252858823, 0.1921673717826469, 0.22668763748249468], [15.278323303323864, 0.20024083850861638, 0.4667123960106615]]",3.9910993719100953
2,2,0.7744959981837112,"[[1, 0.06891022914202191, 0.39294690611829425], [4.390221365584651, 0.19909534602103562, 0], [18.507057996879034, 0.21017903263056137, 0], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [2.7890817811807365, -0.5, 0.40168994950485315], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278]]",5.986649057865143
3,3,0.7744959981837112,"[[1, 0.06891022914202191, 0.39294690611829425], [4.390221365584651, 0.19909534602103562, 0], [18.507057996879034, 0.21017903263056137, 0], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [2.7890817811807365, -0.5, 0.40168994950485315], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278]]",7.982198743820191
4,4,0.7744959981837112,"[[1, 0.06891022914202191, 0.39294690611829425], [4.390221365584651, 0.19909534602103562, 0], [18.507057996879034, 0.21017903263056137, 0], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [2.7890817811807365, -0.5, 0.40168994950485315], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278]]",9.977748429775238
5,5,0.7744959981837112,"[[1, 0.06891022914202191, 0.39294690611829425], [4.390221365584651, 0.19909534602103562, 0], [18.507057996879034, 0.21017903263056137, 0], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [2.7890817811807365, -0.5, 0.40168994950485315], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278]]",11.973298115730286
6,6,0.7744959981837112,"[[1, 0.06891022914202191, 0.39294690611829425], [4.390221365584651, 0.19909534602103562, 0], [18.507057996879034, 0.21017903263056137, 0], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [2.7890817811807365, -0.5, 0.40168994950485315], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278]]",13.968847801685333
7,7,0.7744959981837112,"[[1, 0.06891022914202191, 0.39294690611829425], [4.390221365584651, 0.19909534602103562, 0], [18.507057996879034, 0.21017903263056137, 0], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [2.7890817811807365, -0.5, 0.40168994950485315], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278]]",15.964397487640381
8,8,0.7744959981837112,"[[1, 0.06891022914202191, 0.39294690611829425], [4.390221365584651, 0.19909534602103562, 0], [18.507057996879034, 0.21017903263056137, 0], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [2.7890817811807365, -0.5, 0.40168994950485315], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278]]",17.959947173595427
9,9,0.7744959981837112,"[[1, 0.06891022914202191, 0.39294690611829425], [4.390221365584651, 0.19909534602103562, 0], [18.507057996879034, 0.21017903263056137, 0], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [1, 0.5, 0.8506762687333065], [2.7890817811807365, -0.5, 0.40168994950485315], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278], [1, -0.2768176194533464, 0.6673428671609278]]",19.955496859550475
