,Generations,CCEA Fitness Values,Best_Sol,time
0,0,0.34541428088591236,"[[0.600851431314493, 0.600444971566518, -0.24606135586627897], [8.439408106236943, 0.3334451502498995, 0.4136682800028687], [0.5559299123423611, 0.6743953203190907, 0.34949921820009267], [12.893348736271994, 0.3147204464280714, -0.5], [4.074587168414334, 0.025031977819837986, 0.30533327291032386], [5.2541476428630975, 1, 0.5], [7.16218196178419, 0.7720178706132222, 0.3407368810829702], [9.297049805006987, 1, -0.166364974748897], [18.919687472879094, 0.14702283325646026, 0.2842181858822447], [6.933945169041127, 0.7091394589237702, 0.13927206457021102]]",1.4344371628761292
1,1,0.3558330959941122,"[[0.6122938437733416, 0.6908320805619088, -0.5], [0, 0, -0.5], [0.5559299123423611, 0.6743953203190907, 0.34949921820009267], [17.37838863411038, 1, -0.402870032853598], [5.04036124656823, 0.11138468752098953, 0.18265928939383594], [0, 0.7547331164576858, -0.22368878484422122], [7.257625565172843, 0.27675603884496747, -0.2511834025961386], [8.315016657347696, 0.4302326459393383, 0.26254208547845437], [17.602610616907327, 0.5687531863534608, 0.157420130475593], [0, 1, 0.04068340346282652]]",2.8688743257522584
2,2,0.3733442765314276,"[[1.875903188808803, 1, -0.5], [10.858480405238058, 0.7910904411879686, 0.21542683637380974], [5.678666429853663, 0.021886599464239875, 0.29254621807524617], [16.22708615103322, 1, -0.12354712848375983], [3.853528932386914, 1, 0.4051972564841867], [6.758794310486579, 0.21118153081456403, -0.33405108654293003], [13.902340613588514, 0.3828547560780927, -0.012630527151252513], [0.34034784542014784, 0.5683656118883624, -0.3525208554506878], [17.602610616907327, 0.5687531863534608, 0.157420130475593], [6.684208022739453, 0.577857716346408, -0.06012901826111855]]",4.303311488628387
3,3,0.3733442765314276,"[[1.875903188808803, 1, -0.5], [10.858480405238058, 0.7910904411879686, 0.21542683637380974], [5.678666429853663, 0.021886599464239875, 0.29254621807524617], [16.22708615103322, 1, -0.12354712848375983], [3.853528932386914, 1, 0.4051972564841867], [6.758794310486579, 0.21118153081456403, -0.33405108654293003], [13.902340613588514, 0.3828547560780927, -0.012630527151252513], [0.34034784542014784, 0.5683656118883624, -0.3525208554506878], [17.602610616907327, 0.5687531863534608, 0.157420130475593], [6.684208022739453, 0.577857716346408, -0.06012901826111855]]",5.737748651504517
4,4,0.3805253342388155,"[[5.236572713419689, 0.19009682409284068, -0.487924503689785], [5.929822270582594, 1, 0.33520124786291655], [0, 1, 0.4803056275588394], [17.37838863411038, 1, -0.402870032853598], [9.734077450818965, 0, -0.48309841585144164], [0, 0.43193953888810566, -0.2882172090992565], [18.284133667554933, 0.009751441228888713, -0.21995777963355173], [0, 1, -0.3743618834785835], [9.899581172533445, 0.42582378411301197, 0.5], [0, 1, 0.04068340346282652]]",7.172185814380645
5,5,0.3908010878500984,"[[13.15805303842994, 0.7866265862971907, -0.4726249109305013], [7.163549060526939, 0.1213139452420072, -0.2376991256241998], [7.205178662324702, 1, -0.008146081614285653], [0.5370962738696126, 0.6564119157107474, -0.12716527493063784], [15.231869546488227, 0.17071079784332688, -0.5], [0, 0.9763676743346918, 0.3790385658289337], [4.417423012056159, 0.8389991741199756, 0.5], [8.315016657347696, 0.4302326459393383, 0.26254208547845437], [0, 1, -0.35575725864322416], [20, 1, -0.5]]",8.606622977256775
6,6,0.39568303133769744,"[[8.853775856430838, 0.37855140714965413, 0.5], [5.892674047330566, 1, -0.5], [5.922491634970183, 0.880704594079637, -0.016930573149203154], [7.471720206377711, 1, 0.5], [9.734077450818965, 0, -0.48309841585144164], [0, 0.9763676743346918, 0.3790385658289337], [8.602621669663169, 0.5586675222155261, -0.40456481590132726], [0, 1, -0.5], [17.602610616907327, 0.5687531863534608, 0.157420130475593], [15.688305364513054, 0.1687798036578699, -0.5]]",10.041060140132904
7,7,0.39568303133769744,"[[8.853775856430838, 0.37855140714965413, 0.5], [5.892674047330566, 1, -0.5], [5.922491634970183, 0.880704594079637, -0.016930573149203154], [7.471720206377711, 1, 0.5], [9.734077450818965, 0, -0.48309841585144164], [0, 0.9763676743346918, 0.3790385658289337], [8.602621669663169, 0.5586675222155261, -0.40456481590132726], [0, 1, -0.5], [17.602610616907327, 0.5687531863534608, 0.157420130475593], [15.688305364513054, 0.1687798036578699, -0.5]]",11.475497303009034
8,8,0.39568303133769744,"[[8.853775856430838, 0.37855140714965413, 0.5], [5.892674047330566, 1, -0.5], [5.922491634970183, 0.880704594079637, -0.016930573149203154], [7.471720206377711, 1, 0.5], [9.734077450818965, 0, -0.48309841585144164], [0, 0.9763676743346918, 0.3790385658289337], [8.602621669663169, 0.5586675222155261, -0.40456481590132726], [0, 1, -0.5], [17.602610616907327, 0.5687531863534608, 0.157420130475593], [15.688305364513054, 0.1687798036578699, -0.5]]",12.909934465885163
9,9,0.39568303133769744,"[[8.853775856430838, 0.37855140714965413, 0.5], [5.892674047330566, 1, -0.5], [5.922491634970183, 0.880704594079637, -0.016930573149203154], [7.471720206377711, 1, 0.5], [9.734077450818965, 0, -0.48309841585144164], [0, 0.9763676743346918, 0.3790385658289337], [8.602621669663169, 0.5586675222155261, -0.40456481590132726], [0, 1, -0.5], [17.602610616907327, 0.5687531863534608, 0.157420130475593], [15.688305364513054, 0.1687798036578699, -0.5]]",14.34437162876129
