,Generations,CCEA Fitness Values,Best_Sol,time
0,0,0.349696036935571,"[[15.195936912333284, 1, -0.4967331333754998], [7.890949666847592, 0.13279407824401945, 0.03719790554798556], [0, 0.17099600604248444, -0.12101657878787322], [12.969262595031738, 0.3772709787938604, -0.4119375547062827], [7.174260076048238, 0.47122499337951407, 0.43256977979775524], [1.943710816407994, 0, -0.1336992991140364], [18.42335703906484, 0.147719208278419, 0.28108050663996176], [3.303423053546653, 1, -0.10560769318702123], [0, 0.6184587188107253, -0.5], [7.147967742910549, 0.8013258010276125, 0.5]]",1.299556977748871
1,1,0.36215549513839723,"[[19.629765564863696, 0.15430016333920027, 0.5], [18.063180678865955, 0.9788707000424994, -0.4972766311624267], [0, 0.10047954200758574, -0.20743506683362636], [10.853597266359696, 0.6925690598088092, 0.18865530203613934], [4.328342241343634, 0.5046574714286379, -0.06402380883160019], [1.2287165928005228, 0.6360482442726682, 0.1504968202023451], [17.49912679662351, 0.49446213354919577, 0.004491124625257248], [3.6741140416282936, 0.3344524930252291, 0.31925574866785544], [0, 0.6184587188107253, -0.5], [20, 0.7493173759193136, 0.5]]",2.599113955497742
2,2,0.37329834430851383,"[[0, 0.7628370520386236, -0.27759329625460444], [13.419249712501678, 0.8883873296717749, 0.5], [6.133996662516059, 0.6093504425065709, 0.5], [10.158057753994086, 0.7705542598115485, -0.054504529197634766], [4.231699513944055, 1, -0.01670112284660996], [12.799502212829225, 0.44671449568432126, -0.5], [13.02501903988685, 0.4952576064735048, -0.12689856278620276], [4.6484443814800755, 0.38059230599178673, -0.15257981872000753], [6.083836895124887, 1, 0.5], [0.34860223885336916, 0.8278732511250051, 0.3751254343809813]]",3.8986709332466125
3,3,0.37329834430851383,"[[0, 0.7628370520386236, -0.27759329625460444], [13.419249712501678, 0.8883873296717749, 0.5], [6.133996662516059, 0.6093504425065709, 0.5], [10.158057753994086, 0.7705542598115485, -0.054504529197634766], [4.231699513944055, 1, -0.01670112284660996], [12.799502212829225, 0.44671449568432126, -0.5], [13.02501903988685, 0.4952576064735048, -0.12689856278620276], [4.6484443814800755, 0.38059230599178673, -0.15257981872000753], [6.083836895124887, 1, 0.5], [0.34860223885336916, 0.8278732511250051, 0.3751254343809813]]",5.198227910995484
4,4,0.37329834430851383,"[[0, 0.7628370520386236, -0.27759329625460444], [13.419249712501678, 0.8883873296717749, 0.5], [6.133996662516059, 0.6093504425065709, 0.5], [10.158057753994086, 0.7705542598115485, -0.054504529197634766], [4.231699513944055, 1, -0.01670112284660996], [12.799502212829225, 0.44671449568432126, -0.5], [13.02501903988685, 0.4952576064735048, -0.12689856278620276], [4.6484443814800755, 0.38059230599178673, -0.15257981872000753], [6.083836895124887, 1, 0.5], [0.34860223885336916, 0.8278732511250051, 0.3751254343809813]]",6.497784888744354
5,5,0.3951563872496493,"[[6.899845840137687, 0.44776870055345636, -0.45784442253960744], [0.47101916924278514, 1, 0.4128529669955583], [5.508880252272052, 0.3354464976386113, 0.5], [1.7646261170891564, 0.24968114212952391, -0.11244561778801633], [0, 0.8658390126384202, -0.5], [12.219257995290869, 0.7119060402774676, -0.2553791275217093], [20, 0.591374651929676, -0.1607033666813551], [9.351405320558358, 0.8827034226028607, 0.31214985699294295], [6.781124263418634, 1, -0.038341824965168206], [0, 0.08646668921749315, -0.5]]",7.797341866493225
6,6,0.3951563872496493,"[[6.899845840137687, 0.44776870055345636, -0.45784442253960744], [0.47101916924278514, 1, 0.4128529669955583], [5.508880252272052, 0.3354464976386113, 0.5], [1.7646261170891564, 0.24968114212952391, -0.11244561778801633], [0, 0.8658390126384202, -0.5], [12.219257995290869, 0.7119060402774676, -0.2553791275217093], [20, 0.591374651929676, -0.1607033666813551], [9.351405320558358, 0.8827034226028607, 0.31214985699294295], [6.781124263418634, 1, -0.038341824965168206], [0, 0.08646668921749315, -0.5]]",9.096898844242096
7,7,0.39888393535217503,"[[19.629765564863696, 0.15430016333920027, 0.5], [6.309519762884461, 1, 0.5], [20, 0.013070808913014376, -0.3021852301412737], [1.7646261170891564, 0.24968114212952391, -0.11244561778801633], [9.999444129189243, 0, 0.19043838945330138], [1.5888837219698826, 1, -0.4541599532544186], [5.787093917886378, 0.5094454521007595, -0.22981395035948146], [1.8175107450205412, 0.6693188954451975, 0.33909824953630485], [6.781124263418634, 1, -0.038341824965168206], [18.003828897508537, 0.8165194746834482, 0.28891919772879837]]",10.396455821990967
8,8,0.39888393535217503,"[[19.629765564863696, 0.15430016333920027, 0.5], [6.309519762884461, 1, 0.5], [20, 0.013070808913014376, -0.3021852301412737], [1.7646261170891564, 0.24968114212952391, -0.11244561778801633], [9.999444129189243, 0, 0.19043838945330138], [1.5888837219698826, 1, -0.4541599532544186], [5.787093917886378, 0.5094454521007595, -0.22981395035948146], [1.8175107450205412, 0.6693188954451975, 0.33909824953630485], [6.781124263418634, 1, -0.038341824965168206], [18.003828897508537, 0.8165194746834482, 0.28891919772879837]]",11.696012799739838
9,9,0.39888393535217503,"[[19.629765564863696, 0.15430016333920027, 0.5], [6.309519762884461, 1, 0.5], [20, 0.013070808913014376, -0.3021852301412737], [1.7646261170891564, 0.24968114212952391, -0.11244561778801633], [9.999444129189243, 0, 0.19043838945330138], [1.5888837219698826, 1, -0.4541599532544186], [5.787093917886378, 0.5094454521007595, -0.22981395035948146], [1.8175107450205412, 0.6693188954451975, 0.33909824953630485], [6.781124263418634, 1, -0.038341824965168206], [18.003828897508537, 0.8165194746834482, 0.28891919772879837]]",12.995569777488708
10,10,0.39888393535217503,"[[19.629765564863696, 0.15430016333920027, 0.5], [6.309519762884461, 1, 0.5], [20, 0.013070808913014376, -0.3021852301412737], [1.7646261170891564, 0.24968114212952391, -0.11244561778801633], [9.999444129189243, 0, 0.19043838945330138], [1.5888837219698826, 1, -0.4541599532544186], [5.787093917886378, 0.5094454521007595, -0.22981395035948146], [1.8175107450205412, 0.6693188954451975, 0.33909824953630485], [6.781124263418634, 1, -0.038341824965168206], [18.003828897508537, 0.8165194746834482, 0.28891919772879837]]",14.295126755237579
