,Generations,CCEA Fitness Values,Best_Sol,time
0,0,0.3701990528220659,"[[0, 0.7948629943292657, -0.037931343612373276], [9.021832149472598, 0.7602791416733379, -0.5], [5.169059044205264, 0.7593780991691019, 0.4101389349189225], [2.7058035957288897, 0.9368938128805633, -0.5], [5.741814587487243, 1, 0.23824093569942903], [2.873245805974245, 0.9792833515288113, 0.5], [0, 0.2855078414843719, -0.32293933714658335], [20, 1, 0.18480314210448737], [7.808650095997438, 0.00971294350059615, 0.4293590860033465], [12.504999481876848, 0.10081253359420023, -0.3698199375637745]]",1.303146185874939
1,1,0.3701990528220659,"[[0, 0.7948629943292657, -0.037931343612373276], [9.021832149472598, 0.7602791416733379, -0.5], [5.169059044205264, 0.7593780991691019, 0.4101389349189225], [2.7058035957288897, 0.9368938128805633, -0.5], [5.741814587487243, 1, 0.23824093569942903], [2.873245805974245, 0.9792833515288113, 0.5], [0, 0.2855078414843719, -0.32293933714658335], [20, 1, 0.18480314210448737], [7.808650095997438, 0.00971294350059615, 0.4293590860033465], [12.504999481876848, 0.10081253359420023, -0.3698199375637745]]",2.606292371749878
2,2,0.3701990528220659,"[[0, 0.7948629943292657, -0.037931343612373276], [9.021832149472598, 0.7602791416733379, -0.5], [5.169059044205264, 0.7593780991691019, 0.4101389349189225], [2.7058035957288897, 0.9368938128805633, -0.5], [5.741814587487243, 1, 0.23824093569942903], [2.873245805974245, 0.9792833515288113, 0.5], [0, 0.2855078414843719, -0.32293933714658335], [20, 1, 0.18480314210448737], [7.808650095997438, 0.00971294350059615, 0.4293590860033465], [12.504999481876848, 0.10081253359420023, -0.3698199375637745]]",3.9094385576248167
3,3,0.3701990528220659,"[[0, 0.7948629943292657, -0.037931343612373276], [9.021832149472598, 0.7602791416733379, -0.5], [5.169059044205264, 0.7593780991691019, 0.4101389349189225], [2.7058035957288897, 0.9368938128805633, -0.5], [5.741814587487243, 1, 0.23824093569942903], [2.873245805974245, 0.9792833515288113, 0.5], [0, 0.2855078414843719, -0.32293933714658335], [20, 1, 0.18480314210448737], [7.808650095997438, 0.00971294350059615, 0.4293590860033465], [12.504999481876848, 0.10081253359420023, -0.3698199375637745]]",5.212584743499756
4,4,0.3736416369160072,"[[0, 0.8243117286595955, 0.004719989639148697], [9.967265599870608, 0.7107466325103284, 0.2220836364101976], [18.141576355736312, 0, -0.5], [8.958769046966768, 0.8596683314439315, 0.18614381840702407], [0, 0.5832039122077306, -0.5], [20, 0.6170072861290089, -0.44223944635512374], [0, 1, -0.5], [8.299428974468348, 1, -0.26383716725577877], [1.4401776452699937, 0.9178814764435139, -0.49260341838511085], [9.336704634633877, 0.36132672306376723, -0.48216764098637566]]",6.515730929374695
5,5,0.3870294067384322,"[[7.681247369807425, 0.21238274297563217, -0.3618527143026814], [0.5363413761008097, 0, 0.5], [8.608582608712986, 1, -0.5], [8.733488137301507, 0.6520695066263063, -0.44319330131567536], [18.29546353048684, 0.5995005253480274, -0.0720605297810274], [2.873245805974245, 0.9792833515288113, 0.5], [5.28597400961182, 1, 0.015522898934975923], [20, 0.19681364346633604, -0.5], [2.6279902567484563, 0.48799914942400024, 0.3083497820331228], [17.84126312588715, 0, 0.5]]",7.8188771152496335
6,6,0.3870294067384322,"[[7.681247369807425, 0.21238274297563217, -0.3618527143026814], [0.5363413761008097, 0, 0.5], [8.608582608712986, 1, -0.5], [8.733488137301507, 0.6520695066263063, -0.44319330131567536], [18.29546353048684, 0.5995005253480274, -0.0720605297810274], [2.873245805974245, 0.9792833515288113, 0.5], [5.28597400961182, 1, 0.015522898934975923], [20, 0.19681364346633604, -0.5], [2.6279902567484563, 0.48799914942400024, 0.3083497820331228], [17.84126312588715, 0, 0.5]]",9.122023301124573
7,7,0.3870294067384322,"[[7.681247369807425, 0.21238274297563217, -0.3618527143026814], [0.5363413761008097, 0, 0.5], [8.608582608712986, 1, -0.5], [8.733488137301507, 0.6520695066263063, -0.44319330131567536], [18.29546353048684, 0.5995005253480274, -0.0720605297810274], [2.873245805974245, 0.9792833515288113, 0.5], [5.28597400961182, 1, 0.015522898934975923], [20, 0.19681364346633604, -0.5], [2.6279902567484563, 0.48799914942400024, 0.3083497820331228], [17.84126312588715, 0, 0.5]]",10.425169486999511
8,8,0.3984152328059104,"[[19.163013888678314, 0.8243117286595955, -0.04286569579865823], [9.967265599870608, 0.7107466325103284, 0.2220836364101976], [8.608582608712986, 1, -0.5], [2.5505726035753584, 0.005156919381271607, -0.3483823965445309], [20, 0.9268311441580771, -0.5], [2.873245805974245, 0.9792833515288113, 0.5], [0, 1, -0.5], [0, 1, 0.06800050229282922], [7.709131851660113, 0.03324949247116089, 0.40503724288972087], [6.876341256292511, 0.6181731213203102, -0.5]]",11.728315672874452
9,9,0.39967285891685067,"[[6.3721241999821885, 1, 0.5], [0, 0.019495200474440193, -0.5], [6.521594699670266, 1, -0.5], [20, 0.6051686804001639, 0.12143298265442229], [20, 0.6811555255042578, -0.5], [0, 0.0908028674689435, 0.5], [0, 1, -0.5], [20, 0.19681364346633604, -0.5], [8.099130706020249, 1, -0.026803336121884125], [14.15935009558286, 0.6425981302318886, 0.30748879531307516]]",13.03146185874939
